CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
Aaron Williams BKN 2002,Aaron Williams,,Aaron Williams,2002,BKN,20,416,130,46,96,0.479,0,1,0,38,46,0.826,24,46,70,16,8,16,23,78,,6.50,3.50,0.80,0.40,0.80,1.15,0.48,0.00,0.83,"10,000.00",Finalist
Aaron Williams BKN 2003,Aaron Williams,,Aaron Williams,2003,BKN,19,340,123,50,106,0.472,0,0,0,23,31,0.742,33,54,87,18,6,17,13,54,,6.47,4.58,0.95,0.32,0.89,0.68,0.47,0.00,0.74,"10,000.00",Finalist
Aaron Williams BKN 2004,Aaron Williams,,Aaron Williams,2004,BKN,11,150,42,18,33,0.545,0,0,0,6,10,0.6,7,15,22,4,0,7,15,41,,3.82,2.00,0.36,0.00,0.64,1.36,0.55,0.00,0.60,100.00,Conf Semis
Abdel Nader BOS 2018,Abdel Nader,,Abdel Nader,2018,BOS,11,33.1,12,5,15,0.333,0,4,0,2,4,0.5,1,2,3,3,1,1,2,2,,1.09,0.27,0.27,0.09,0.09,0.18,0.33,0.00,0.50,"1,000.00",Conf Finalist
Abdel Nader OKC 2019,Abdel Nader,,Abdel Nader,2019,OKC,3,4.7,2,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.67,0.00,0.00,0.00,0.33,0.00,0.50,0.00,0.00,10.00,First Round
Abdel Nader OKC 2020,Abdel Nader,,Abdel Nader,2020,OKC,3,25.4,4,1,7,0.143,1,5,0.2,1,2,0.5,1,2,3,0,1,2,0,1,,1.33,1.00,0.00,0.33,0.67,0.00,0.14,0.20,0.50,10.00,First Round
Abdel Nader PHX 2021,Abdel Nader,,Abdel Nader,2021,PHX,5,28.9,4,2,6,0.333,0,2,0,0,0,0,0,5,5,0,0,0,0,3,,0.80,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,"10,000.00",Finalist
Acie Earl BOS 1995,Acie Earl,,Acie Earl,1995,BOS,1,10,2,1,3,0.333,0,0,0,0,2,0,1,1,2,0,0,1,0,4,,2.00,2.00,0.00,0.00,1.00,0.00,0.33,0.00,0.00,10.00,First Round
Acie Law ATL 2008,Acie Law,,Acie Law,2008,ATL,7,61.1,21,6,8,0.75,0,0,0,9,10,0.9,0,2,2,8,2,0,8,5,,3.00,0.29,1.14,0.29,0.00,1.14,0.75,0.00,0.90,10.00,First Round
Acie Law ATL 2009,Acie Law,,Acie Law,2009,ATL,6,27.8,8,3,9,0.333,1,3,0.333,1,1,1,1,1,2,6,0,0,1,3,,1.33,0.33,1.00,0.00,0.00,0.17,0.33,0.33,1.00,100.00,Conf Semis
Adam Keefe ATL 1993,Adam Keefe,,Adam Keefe,1993,ATL,3,53,18,7,13,0.538,0,0,0,4,6,0.667,4,9,13,6,1,0,3,7,,6.00,4.33,2.00,0.33,0.00,1.00,0.54,0.00,0.67,10.00,First Round
Adam Keefe ATL 1994,Adam Keefe,,Adam Keefe,1994,ATL,7,62,16,6,10,0.6,0,0,0,4,9,0.444,3,10,13,2,1,1,4,9,,2.29,1.86,0.29,0.14,0.14,0.57,0.60,0.00,0.44,100.00,Conf Semis
Adam Keefe UTA 1995,Adam Keefe,,Adam Keefe,1995,UTA,4,69,18,7,12,0.583,0,0,0,4,6,0.667,8,9,17,2,5,1,0,4,,4.50,4.25,0.50,1.25,0.25,0.00,0.58,0.00,0.67,10.00,First Round
Adam Keefe UTA 1996,Adam Keefe,,Adam Keefe,1996,UTA,17,178,58,23,34,0.676,1,2,0.5,11,17,0.647,9,24,33,2,3,1,8,23,,3.41,1.94,0.12,0.18,0.06,0.47,0.68,0.50,0.65,"1,000.00",Conf Finalist
Adam Keefe UTA 1997,Adam Keefe,,Adam Keefe,1997,UTA,8,59,8,2,6,0.333,0,0,0,4,6,0.667,3,13,16,2,2,1,2,5,,1.00,2.00,0.25,0.25,0.13,0.25,0.33,0.00,0.67,"10,000.00",Finalist
Adam Keefe UTA 1998,Adam Keefe,,Adam Keefe,1998,UTA,15,154,31,10,29,0.345,0,0,0,11,17,0.647,13,21,34,2,4,2,3,18,,2.07,2.27,0.13,0.27,0.13,0.20,0.34,0.00,0.65,"10,000.00",Finalist
Adam Keefe UTA 1999,Adam Keefe,,Adam Keefe,1999,UTA,10,101,41,18,30,0.6,0,0,0,5,5,1,7,17,24,3,4,3,8,17,,4.10,2.40,0.30,0.40,0.30,0.80,0.60,0.00,1.00,100.00,Conf Semis
Adam Morrison LAL 2010,Adam Morrison,,Adam Morrison,2010,LAL,2,13.1,8,4,9,0.444,0,2,0,0,0,0,2,3,5,1,0,0,0,2,,4.00,2.50,0.50,0.00,0.00,0.00,0.44,0.00,0.00,"100,000.00",Champion
Adonal Foyle GSW 2007,Adonal Foyle,,Adonal Foyle,2007,GSW,3,5.8,2,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,,0.67,0.67,0.00,0.00,0.00,0.00,1.00,0.00,0.00,100.00,Conf Semis
Adonal Foyle ORL 2008,Adonal Foyle,,Adonal Foyle,2008,ORL,3,10.6,2,1,3,0.333,0,0,0,0,0,0,0,3,3,0,0,0,2,1,,0.67,1.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,100.00,Conf Semis
Adonal Foyle ORL 2009,Adonal Foyle,,Adonal Foyle,2009,ORL,2,3.9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,"10,000.00",Finalist
Adrian Branch LAL 1987,Adrian Branch,,Adrian Branch,1987,LAL,11,42,14,4,21,0.19,0,1,0,6,12,0.5,3,7,10,5,2,0,5,10,,1.27,0.91,0.45,0.18,0.00,0.45,0.19,0.00,0.50,"100,000.00",Champion
Adrian Branch POR 1989,Adrian Branch,,Adrian Branch,1989,POR,1,5,2,0,3,0,0,0,0,2,2,1,0,1,1,2,0,0,0,0,,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,10.00,First Round
Adrian Caldwell HOU 1990,Adrian Caldwell,,Adrian Caldwell,1990,HOU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,First Round
Adrian Caldwell IND 1996,Adrian Caldwell,,Adrian Caldwell,1996,IND,1,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,First Round
Adrian Dantley LAL 1978,Adrian Dantley,,Adrian Dantley,1978,LAL,3,104,51,20,35,0.571,,,,11,17,0.647,9,16,25,11,5,3,6,9,,17.00,8.33,3.67,1.67,1.00,2.00,0.57,0.00,0.65,10.00,First Round
Adrian Dantley LAL 1979,Adrian Dantley,,Adrian Dantley,1979,LAL,8,236,141,50,89,0.562,,,,41,52,0.788,10,23,33,11,6,1,19,24,,17.63,4.13,1.38,0.75,0.13,2.38,0.56,0.00,0.79,100.00,Conf Semis
Adrian Dantley UTA 1984,Adrian Dantley,,Adrian Dantley,1984,UTA,11,454,354,117,232,0.504,0,0,0,120,139,0.863,37,46,83,46,10,1,38,30,,32.18,7.55,4.18,0.91,0.09,3.45,0.50,0.00,0.86,100.00,Conf Semis
Adrian Dantley UTA 1985,Adrian Dantley,,Adrian Dantley,1985,UTA,10,398,253,79,151,0.523,0,1,0,95,122,0.779,25,50,75,20,16,0,36,39,,25.30,7.50,2.00,1.60,0.00,3.60,0.52,0.00,0.78,100.00,Conf Semis
Adrian Dantley DET 1987,Adrian Dantley,,Adrian Dantley,1987,DET,15,500,308,111,206,0.539,0,0,0,86,111,0.775,29,39,68,35,13,0,33,36,,20.53,4.53,2.33,0.87,0.00,2.20,0.54,0.00,0.77,"1,000.00",Conf Finalist
Adrian Dantley DET 1988,Adrian Dantley,,Adrian Dantley,1988,DET,23,804,446,153,292,0.524,0,2,0,140,178,0.787,37,70,107,46,19,1,51,50,,19.39,4.65,2.00,0.83,0.04,2.22,0.52,0.00,0.79,"10,000.00",Finalist
Adrian Dantley MIL 1991,Adrian Dantley,,Adrian Dantley,1991,MIL,2,15,5,1,7,0.143,0,0,0,3,4,0.75,2,2,4,0,0,0,2,0,,2.50,2.00,0.00,0.00,0.00,1.00,0.14,0.00,0.75,10.00,First Round
Adrian Griffin DAL 2002,Adrian Griffin,,Adrian Griffin,2002,DAL,4,57,20,10,17,0.588,0,2,0,0,2,0,2,7,9,4,2,1,3,6,,5.00,2.25,1.00,0.50,0.25,0.75,0.59,0.00,0.00,100.00,Conf Semis
Adrian Griffin DAL 2003,Adrian Griffin,,Adrian Griffin,2003,DAL,15,131,37,17,41,0.415,1,3,0.333,2,2,1,17,27,44,8,4,0,9,24,,2.47,2.93,0.53,0.27,0.00,0.60,0.41,0.33,1.00,"1,000.00",Conf Finalist
Adrian Griffin CHI 2005,Adrian Griffin,,Adrian Griffin,2005,CHI,5,87,34,15,29,0.517,0,0,0,4,5,0.8,5,15,20,9,5,0,3,14,,6.80,4.00,1.80,1.00,0.00,0.60,0.52,0.00,0.80,10.00,First Round
Adrian Griffin DAL 2006,Adrian Griffin,,Adrian Griffin,2006,DAL,20,349.3,71,32,59,0.542,0,0,0,7,8,0.875,28,43,71,24,15,2,11,42,,3.55,3.55,1.20,0.75,0.10,0.55,0.54,0.00,0.88,"10,000.00",Finalist
Adrian Griffin CHI 2007,Adrian Griffin,,Adrian Griffin,2007,CHI,4,9,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,100.00,Conf Semis
Adrian Smith SAC 1962,Adrian Smith,,Adrian Smith,1962,SAC,4,53,21,8,19,0.421,,,,5,5,1,,,5,3,,,,2,,5.25,1.25,0.75,0.00,0.00,0.00,0.42,0.00,1.00,100.00,Conf Semis
Adrian Smith SAC 1963,Adrian Smith,,Adrian Smith,1963,SAC,12,200,97,33,82,0.402,,,,31,44,0.705,,,16,28,,,,19,,8.08,1.33,2.33,0.00,0.00,0.00,0.40,0.00,0.70,"1,000.00",Conf Finalist
Adrian Smith SAC 1964,Adrian Smith,,Adrian Smith,1964,SAC,7,66,21,8,26,0.308,,,,5,7,0.714,,,9,4,,,,8,,3.00,1.29,0.57,0.00,0.00,0.00,0.31,0.00,0.71,"1,000.00",Conf Finalist
Adrian Smith SAC 1965,Adrian Smith,,Adrian Smith,1965,SAC,4,150,57,18,48,0.375,,,,21,22,0.955,,,11,21,,,,11,,14.25,2.75,5.25,0.00,0.00,0.00,0.38,0.00,0.95,100.00,Conf Semis
Adrian Smith SAC 1966,Adrian Smith,,Adrian Smith,1966,SAC,5,157,65,22,59,0.373,,,,21,22,0.955,,,12,13,,,,12,,13.00,2.40,2.60,0.00,0.00,0.00,0.37,0.00,0.95,100.00,Conf Semis
Adrian Smith SAC 1967,Adrian Smith,,Adrian Smith,1967,SAC,4,120,45,18,48,0.375,,,,9,12,0.75,,,8,11,,,,8,,11.25,2.00,2.75,0.00,0.00,0.00,0.38,0.00,0.75,100.00,Conf Semis
