CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
Jerome Kersey POR 1985,Jerome Kersey,,Jerome Kersey,1985,POR,8,60,38,16,31,0.516,0,0,0,6,8,0.75,5,4,9,6,7,2,2,11,,4.75,1.13,0.75,0.88,0.25,0.25,0.52,0.00,0.75,100.00,Conf Semis
Jerome Kersey POR 1986,Jerome Kersey,,Jerome Kersey,1986,POR,4,56,22,9,22,0.409,0,1,0,4,4,1,7,8,15,4,1,4,6,13,,5.50,3.75,1.00,0.25,1.00,1.50,0.41,0.00,1.00,10.00,First Round
Jerome Kersey POR 1987,Jerome Kersey,,Jerome Kersey,1987,POR,4,60,24,10,25,0.4,0,0,0,4,4,1,6,13,19,3,5,1,6,13,,6.00,4.75,0.75,1.25,0.25,1.50,0.40,0.00,1.00,10.00,First Round
Jerome Kersey POR 1988,Jerome Kersey,,Jerome Kersey,1988,POR,4,127,79,32,65,0.492,0,1,0,15,21,0.714,17,13,30,9,7,4,5,17,,19.75,7.50,2.25,1.75,1.00,1.25,0.49,0.00,0.71,10.00,First Round
Jerome Kersey POR 1989,Jerome Kersey,,Jerome Kersey,1989,POR,3,117,61,23,47,0.489,0,2,0,15,19,0.789,11,13,24,7,10,1,4,12,,20.33,8.00,2.33,3.33,0.33,1.33,0.49,0.00,0.79,10.00,First Round
Jerome Kersey POR 1990,Jerome Kersey,,Jerome Kersey,1990,POR,21,831,435,166,361,0.46,0,3,0,103,144,0.715,66,108,174,45,34,20,45,87,,20.71,8.29,2.14,1.62,0.95,2.14,0.46,0.00,0.72,"10,000.00",Finalist
Jerome Kersey POR 1991,Jerome Kersey,,Jerome Kersey,1991,POR,16,588,286,105,226,0.465,0,0,0,76,101,0.752,52,59,111,49,28,7,17,68,,17.88,6.94,3.06,1.75,0.44,1.06,0.46,0.00,0.75,"1,000.00",Conf Finalist
Jerome Kersey POR 1992,Jerome Kersey,,Jerome Kersey,1992,POR,21,756,341,131,257,0.51,0,3,0,79,114,0.693,59,103,162,75,41,19,53,85,,16.24,7.71,3.57,1.95,0.90,2.52,0.51,0.00,0.69,"10,000.00",Finalist
Jerome Kersey POR 1993,Jerome Kersey,,Jerome Kersey,1993,POR,4,98,57,22,42,0.524,1,1,1,12,17,0.706,10,24,34,4,4,2,2,15,,14.25,8.50,1.00,1.00,0.50,0.50,0.52,1.00,0.71,10.00,First Round
Jerome Kersey POR 1994,Jerome Kersey,,Jerome Kersey,1994,POR,3,38,11,5,16,0.313,0,0,0,1,5,0.2,5,4,9,0,1,1,0,5,,3.67,3.00,0.00,0.33,0.33,0.00,0.31,0.00,0.20,10.00,First Round
Jerome Kersey POR 1995,Jerome Kersey,,Jerome Kersey,1995,POR,3,63,38,16,28,0.571,0,2,0,6,9,0.667,2,6,8,3,3,1,0,11,,12.67,2.67,1.00,1.00,0.33,0.00,0.57,0.00,0.67,10.00,First Round
Jerome Kersey LAL 1997,Jerome Kersey,,Jerome Kersey,1997,LAL,9,210,49,17,35,0.486,0,1,0,15,19,0.789,14,34,48,14,9,6,3,34,,5.44,5.33,1.56,1.00,0.67,0.33,0.49,0.00,0.79,100.00,Conf Semis
Jerome Kersey OKC 1998,Jerome Kersey,,Jerome Kersey,1998,OKC,10,213,78,31,72,0.431,0,3,0,16,19,0.842,17,23,40,9,10,10,13,32,,7.80,4.00,0.90,1.00,1.00,1.30,0.43,0.00,0.84,100.00,Conf Semis
Jerome Kersey SAS 1999,Jerome Kersey,,Jerome Kersey,1999,SAS,14,152,36,15,43,0.349,1,4,0.25,5,7,0.714,10,20,30,4,6,1,6,19,,2.57,2.14,0.29,0.43,0.07,0.43,0.35,0.25,0.71,"100,000.00",Champion
Jerome Kersey SAS 2000,Jerome Kersey,,Jerome Kersey,2000,SAS,2,25,2,1,7,0.143,0,0,0,0,0,0,2,2,4,1,2,1,1,5,,1.00,2.00,0.50,1.00,0.50,0.50,0.14,0.00,0.00,10.00,First Round
Jerome Lane DEN 1989,Jerome Lane,,Jerome Lane,1989,DEN,2,21,6,2,7,0.286,0,1,0,2,2,1,1,5,6,2,0,0,0,4,,3.00,3.00,1.00,0.00,0.00,0.00,0.29,0.00,1.00,10.00,First Round
Jerome Lane DEN 1990,Jerome Lane,,Jerome Lane,1990,DEN,2,14,1,0,3,0,0,0,0,1,2,0.5,0,1,1,2,0,0,2,4,,0.50,0.50,1.00,0.00,0.00,1.00,0.00,0.00,0.50,10.00,First Round
Jerome Moiso NOP 2003,Jerome Moiso,,Jerome Moiso,2003,NOP,4,60,23,10,16,0.625,0,0,0,3,4,0.75,8,8,16,5,0,7,4,9,,5.75,4.00,1.25,0.00,1.75,1.00,0.63,0.00,0.75,10.00,First Round
Jerome Robinson LAC 2019,Jerome Robinson,Jerome Robinson,Jerome Robinson,2019,LAC,5,46.2,18,5,14,0.357,3,6,0.5,5,5,1,2,4,6,7,2,0,1,4,,3.60,1.20,1.40,0.40,0.00,0.20,0.36,0.50,1.00,10.00,First Round
Jerome Whitehead GSW 1987,Jerome Whitehead,,Jerome Whitehead,1987,GSW,10,100,22,9,27,0.333,0,0,0,4,10,0.4,5,9,14,3,2,2,1,22,,2.20,1.40,0.30,0.20,0.20,0.10,0.33,0.00,0.40,100.00,Conf Semis
Jerome Williams DET 1997,Jerome Williams,,Jerome Williams,1997,DET,1,5,4,2,2,1,0,0,0,0,0,0,0,3,3,0,1,0,1,0,,4.00,3.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,10.00,First Round
Jerome Williams DET 1999,Jerome Williams,,Jerome Williams,1999,DET,5,123,31,12,27,0.444,0,0,0,7,9,0.778,12,20,32,4,4,0,4,7,,6.20,6.40,0.80,0.80,0.00,0.80,0.44,0.00,0.78,10.00,First Round
Jerome Williams DET 2000,Jerome Williams,,Jerome Williams,2000,DET,3,73,15,7,14,0.5,0,0,0,1,8,0.125,7,14,21,2,3,0,3,8,,5.00,7.00,0.67,1.00,0.00,1.00,0.50,0.00,0.13,10.00,First Round
Jerome Williams TOR 2001,Jerome Williams,,Jerome Williams,2001,TOR,11,164,35,12,24,0.5,0,0,0,11,22,0.5,20,25,45,9,10,6,6,23,,3.18,4.09,0.82,0.91,0.55,0.55,0.50,0.00,0.50,100.00,Conf Semis
Jerome Williams TOR 2002,Jerome Williams,,Jerome Williams,2002,TOR,5,143,36,14,33,0.424,0,0,0,8,12,0.667,16,17,33,7,9,1,4,19,,7.20,6.60,1.40,1.80,0.20,0.80,0.42,0.00,0.67,10.00,First Round
Jerrod Mustaf NYK 1991,Jerrod Mustaf,,Jerrod Mustaf,1991,NYK,3,22,12,4,5,0.8,0,0,0,4,5,0.8,3,2,5,0,0,1,1,2,,4.00,1.67,0.00,0.00,0.33,0.33,0.80,0.00,0.80,10.00,First Round
Jerrod Mustaf PHX 1993,Jerrod Mustaf,,Jerrod Mustaf,1993,PHX,7,10,6,3,5,0.6,0,0,0,0,0,0,0,2,2,0,0,1,0,0,,0.86,0.29,0.00,0.00,0.14,0.00,0.60,0.00,0.00,"10,000.00",Finalist
Jerry Chambers LAL 1967,Jerry Chambers,,Jerry Chambers,1967,LAL,3,44,31,12,23,0.522,,,,7,7,1,,,8,1,,,,7,,10.33,2.67,0.33,0.00,0.00,0.00,0.52,0.00,1.00,100.00,Conf Semis
Jerry Chambers PHX 1970,Jerry Chambers,,Jerry Chambers,1970,PHX,7,73,33,14,37,0.378,,,,5,8,0.625,,,17,7,,,,6,,4.71,2.43,1.00,0.00,0.00,0.00,0.38,0.00,0.63,100.00,Conf Semis
Jerry Chambers ATL 1971,Jerry Chambers,,Jerry Chambers,1971,ATL,4,22,7,3,9,0.333,,,,1,2,0.5,,,5,0,,,,4,,1.75,1.25,0.00,0.00,0.00,0.00,0.33,0.00,0.50,100.00,Conf Semis
Jerry Eaves UTA 1984,Jerry Eaves,,Jerry Eaves,1984,UTA,11,132,55,22,46,0.478,1,3,0.333,10,13,0.769,3,7,10,13,5,2,7,10,,5.00,0.91,1.18,0.45,0.18,0.64,0.48,0.33,0.77,100.00,Conf Semis
Jerry Fleishman GSW 1947,Jerry Fleishman,,Jerry Fleishman,1947,GSW,9,0,57,22,70,0.314,,,,13,18,0.722,,,0,3,,,,20,,6.33,0.00,0.33,0.00,0.00,0.00,0.31,0.00,0.72,"100,000.00",Champion
Jerry Fleishman GSW 1948,Jerry Fleishman,,Jerry Fleishman,1948,GSW,7,0,16,5,29,0.172,,,,6,8,0.75,,,0,2,,,,7,,2.29,0.00,0.29,0.00,0.00,0.00,0.17,0.00,0.75,"10,000.00",Finalist
Jerry Fleishman GSW 1949,Jerry Fleishman,,Jerry Fleishman,1949,GSW,2,0,20,7,26,0.269,,,,6,9,0.667,,,0,4,,,,5,,10.00,0.00,2.00,0.00,0.00,0.00,0.27,0.00,0.67,100.00,Conf Semis
Jerry Fleishman GSW 1950,Jerry Fleishman,,Jerry Fleishman,1950,GSW,2,0,2,1,3,0.333,,,,0,1,0,,,0,3,,,,6,,1.00,0.00,1.50,0.00,0.00,0.00,0.33,0.00,0.00,100.00,Conf Semis
Jerry Fleishman NYK 1953,Jerry Fleishman,,Jerry Fleishman,1953,NYK,2,26,10,2,3,0.667,,,,6,13,0.462,,,5,7,,,,7,,5.00,2.50,3.50,0.00,0.00,0.00,0.67,0.00,0.46,"10,000.00",Finalist
Jerry Lucas SAC 1964,Jerry Lucas,,Jerry Lucas,1964,SAC,10,370,122,48,123,0.39,,,,26,37,0.703,,,125,34,,,,37,,12.20,12.50,3.40,0.00,0.00,0.00,0.39,0.00,0.70,"1,000.00",Conf Finalist
Jerry Lucas SAC 1965,Jerry Lucas,,Jerry Lucas,1965,SAC,4,195,93,38,75,0.507,,,,17,22,0.773,,,84,9,,,,12,,23.25,21.00,2.25,0.00,0.00,0.00,0.51,0.00,0.77,100.00,Conf Semis
Jerry Lucas SAC 1966,Jerry Lucas,,Jerry Lucas,1966,SAC,5,231,107,40,85,0.471,,,,27,35,0.771,,,101,14,,,,14,,21.40,20.20,2.80,0.00,0.00,0.00,0.47,0.00,0.77,100.00,Conf Semis
Jerry Lucas SAC 1967,Jerry Lucas,,Jerry Lucas,1967,SAC,4,183,50,24,55,0.436,,,,2,2,1,,,77,8,,,,15,,12.50,19.25,2.00,0.00,0.00,0.00,0.44,0.00,1.00,100.00,Conf Semis
Jerry Lucas GSW 1971,Jerry Lucas,,Jerry Lucas,1971,GSW,5,171,89,39,77,0.506,,,,11,16,0.688,,,50,16,,,,14,,17.80,10.00,3.20,0.00,0.00,0.00,0.51,0.00,0.69,100.00,Conf Semis
Jerry Lucas NYK 1972,Jerry Lucas,,Jerry Lucas,1972,NYK,16,737,297,119,238,0.5,,,,59,71,0.831,,,173,85,,,,49,,18.56,10.81,5.31,0.00,0.00,0.00,0.50,0.00,0.83,"10,000.00",Finalist
Jerry Lucas NYK 1973,Jerry Lucas,,Jerry Lucas,1973,NYK,17,368,128,54,112,0.482,,,,20,23,0.87,,,85,39,,,,47,,7.53,5.00,2.29,0.00,0.00,0.00,0.48,0.00,0.87,"100,000.00",Champion
Jerry Lucas NYK 1974,Jerry Lucas,,Jerry Lucas,1974,NYK,11,115,10,5,21,0.238,,,,0,0,0,6,16,22,9,4,0,,9,,0.91,2.00,0.82,0.36,0.00,0.00,0.24,0.00,0.00,"1,000.00",Conf Finalist
Jerry Reynolds MIL 1986,Jerry Reynolds,,Jerry Reynolds,1986,MIL,7,40,20,7,17,0.412,0,1,0,6,11,0.545,3,6,9,4,4,3,4,5,,2.86,1.29,0.57,0.57,0.43,0.57,0.41,0.00,0.55,"1,000.00",Conf Finalist
Jerry Reynolds MIL 1987,Jerry Reynolds,,Jerry Reynolds,1987,MIL,4,5,3,1,3,0.333,0,1,0,1,2,0.5,1,0,1,2,3,0,0,0,,0.75,0.25,0.50,0.75,0.00,0.00,0.33,0.00,0.50,100.00,Conf Semis
Jerry Reynolds MIL 1988,Jerry Reynolds,,Jerry Reynolds,1988,MIL,3,12,8,4,6,0.667,0,0,0,0,0,0,0,1,1,1,0,0,1,1,,2.67,0.33,0.33,0.00,0.00,0.33,0.67,0.00,0.00,10.00,First Round
Jerry Reynolds OKC 1989,Jerry Reynolds,,Jerry Reynolds,1989,OKC,4,40,22,7,22,0.318,1,4,0.25,7,10,0.7,1,4,5,1,2,6,4,6,,5.50,1.25,0.25,0.50,1.50,1.00,0.32,0.25,0.70,100.00,Conf Semis
Jerry Rullo GSW 1947,Jerry Rullo,,Jerry Rullo,1947,GSW,7,0,7,3,13,0.231,,,,1,1,1,,,0,0,,,,1,,1.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,1.00,"100,000.00",Champion
Jerry Rullo GSW 1949,Jerry Rullo,,Jerry Rullo,1949,GSW,2,0,6,2,8,0.25,,,,2,2,1,,,0,1,,,,9,,3.00,0.00,0.50,0.00,0.00,0.00,0.25,0.00,1.00,100.00,Conf Semis
Jerry Sichting IND 1981,Jerry Sichting,,Jerry Sichting,1981,IND,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,10.00,First Round
Jerry Sichting BOS 1986,Jerry Sichting,,Jerry Sichting,1986,BOS,18,274,57,27,61,0.443,0,1,0,3,7,0.429,5,11,16,40,5,0,8,18,,3.17,0.89,2.22,0.28,0.00,0.44,0.44,0.00,0.43,"100,000.00",Champion
Jerry Sichting BOS 1987,Jerry Sichting,,Jerry Sichting,1987,BOS,23,338,79,35,82,0.427,1,6,0.167,8,10,0.8,5,15,20,33,9,0,10,36,,3.43,0.87,1.43,0.39,0.00,0.43,0.43,0.17,0.80,"10,000.00",Finalist
Jerry Sichting POR 1988,Jerry Sichting,,Jerry Sichting,1988,POR,4,31,4,2,7,0.286,0,0,0,0,0,0,1,1,2,5,1,0,0,4,,1.00,0.50,1.25,0.25,0.00,0.00,0.29,0.00,0.00,10.00,First Round
Jerry Sichting POR 1989,Jerry Sichting,,Jerry Sichting,1989,POR,1,11,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,First Round
Jerry Sloan WAS 1966,Jerry Sloan,,Jerry Sloan,1966,WAS,2,34,13,5,12,0.417,,,,3,4,0.75,,,16,6,,,,6,,6.50,8.00,3.00,0.00,0.00,0.00,0.42,0.00,0.75,100.00,Conf Semis
Jerry Sloan CHI 1967,Jerry Sloan,,Jerry Sloan,1967,CHI,3,71,30,12,31,0.387,,,,6,9,0.667,,,10,1,,,,7,,10.00,3.33,0.33,0.00,0.00,0.00,0.39,0.00,0.67,100.00,Conf Semis
Jerry Sloan CHI 1968,Jerry Sloan,,Jerry Sloan,1968,CHI,5,137,43,12,37,0.324,,,,19,25,0.76,,,32,12,,,,19,,8.60,6.40,2.40,0.00,0.00,0.00,0.32,0.00,0.76,100.00,Conf Semis
Jerry Sloan CHI 1970,Jerry Sloan,,Jerry Sloan,1970,CHI,5,190,74,29,74,0.392,,,,16,25,0.64,,,39,11,,,,18,,14.80,7.80,2.20,0.00,0.00,0.00,0.39,0.00,0.64,100.00,Conf Semis
Jerry Sloan CHI 1971,Jerry Sloan,,Jerry Sloan,1971,CHI,7,284,119,51,117,0.436,,,,17,23,0.739,,,63,17,,,,25,,17.00,9.00,2.43,0.00,0.00,0.00,0.44,0.00,0.74,100.00,Conf Semis
Jerry Sloan CHI 1972,Jerry Sloan,,Jerry Sloan,1972,CHI,4,170,63,26,64,0.406,,,,11,19,0.579,,,35,10,,,,18,,15.75,8.75,2.50,0.00,0.00,0.00,0.41,0.00,0.58,100.00,Conf Semis
Jerry Sloan CHI 1973,Jerry Sloan,,Jerry Sloan,1973,CHI,7,292,104,45,103,0.437,,,,14,19,0.737,,,59,14,,,,31,,14.86,8.43,2.00,0.00,0.00,0.00,0.44,0.00,0.74,100.00,Conf Semis
Jerry Sloan CHI 1974,Jerry Sloan,,Jerry Sloan,1974,CHI,6,240,100,39,88,0.443,,,,22,29,0.759,18,44,62,12,7,1,,17,,16.67,10.33,2.00,1.17,0.17,0.00,0.44,0.00,0.76,"1,000.00",Conf Finalist
Jerry Sloan CHI 1975,Jerry Sloan,,Jerry Sloan,1975,CHI,13,470,170,75,163,0.46,,,,20,36,0.556,24,72,96,26,20,0,,46,,13.08,7.38,2.00,1.54,0.00,0.00,0.46,0.00,0.56,"1,000.00",Conf Finalist
Jerry Stackhouse DET 1999,Jerry Stackhouse,,Jerry Stackhouse,1999,DET,5,124,50,18,46,0.391,2,8,0.25,12,14,0.857,3,5,8,6,2,1,10,11,,10.00,1.60,1.20,0.40,0.20,2.00,0.39,0.25,0.86,10.00,First Round
Jerry Stackhouse DET 2000,Jerry Stackhouse,,Jerry Stackhouse,2000,DET,3,120,74,24,59,0.407,3,7,0.429,23,31,0.742,1,11,12,10,2,0,14,4,,24.67,4.00,3.33,0.67,0.00,4.67,0.41,0.43,0.74,10.00,First Round
Jerry Stackhouse DET 2002,Jerry Stackhouse,,Jerry Stackhouse,2002,DET,10,361,176,53,165,0.321,18,53,0.34,52,63,0.825,9,34,43,43,6,6,27,26,,17.60,4.30,4.30,0.60,0.60,2.70,0.32,0.34,0.83,100.00,Conf Semis
Jerry Stackhouse DAL 2005,Jerry Stackhouse,,Jerry Stackhouse,2005,DAL,13,403,209,68,176,0.386,16,40,0.4,57,66,0.864,20,33,53,30,8,3,21,22,,16.08,4.08,2.31,0.62,0.23,1.62,0.39,0.40,0.86,100.00,Conf Semis
Jerry Stackhouse DAL 2006,Jerry Stackhouse,,Jerry Stackhouse,2006,DAL,22,710.9,302,111,276,0.402,22,65,0.338,58,74,0.784,20,42,62,56,12,6,37,43,,13.73,2.82,2.55,0.55,0.27,1.68,0.40,0.34,0.78,"10,000.00",Finalist
Jerry Stackhouse DAL 2007,Jerry Stackhouse,,Jerry Stackhouse,2007,DAL,6,168.6,86,23,66,0.348,11,31,0.355,29,33,0.879,5,17,22,15,4,1,18,9,,14.33,3.67,2.50,0.67,0.17,3.00,0.35,0.35,0.88,10.00,First Round
Jerry Stackhouse DAL 2008,Jerry Stackhouse,,Jerry Stackhouse,2008,DAL,5,102.4,31,12,38,0.316,2,12,0.167,5,5,1,4,12,16,6,1,0,7,9,,6.20,3.20,1.20,0.20,0.00,1.40,0.32,0.17,1.00,10.00,First Round
Jerry Stackhouse MIL 2010,Jerry Stackhouse,,Jerry Stackhouse,2010,MIL,7,144.5,51,14,43,0.326,5,15,0.333,18,20,0.9,1,11,12,8,5,1,5,4,,7.29,1.71,1.14,0.71,0.14,0.71,0.33,0.33,0.90,10.00,First Round
Jerry Stackhouse BKN 2013,Jerry Stackhouse,,Jerry Stackhouse,2013,BKN,4,28.1,5,1,10,0.1,0,7,0,3,4,0.75,1,3,4,0,0,0,2,2,,1.25,1.00,0.00,0.00,0.00,0.50,0.10,0.00,0.75,10.00,First Round
Jerry West LAL 1961,Jerry West,,Jerry West,1961,LAL,12,461,275,99,202,0.49,,,,77,106,0.726,,,104,63,,,,39,,22.92,8.67,5.25,0.00,0.00,0.00,0.49,0.00,0.73,"1,000.00",Conf Finalist
Jerry West LAL 1962,Jerry West,,Jerry West,1962,LAL,13,557,409,144,310,0.465,,,,121,150,0.807,,,88,57,,,,38,,31.46,6.77,4.38,0.00,0.00,0.00,0.46,0.00,0.81,"10,000.00",Finalist
Jerry West LAL 1963,Jerry West,,Jerry West,1963,LAL,13,538,362,144,286,0.503,,,,74,100,0.74,,,106,61,,,,34,,27.85,8.15,4.69,0.00,0.00,0.00,0.50,0.00,0.74,"10,000.00",Finalist
Jerry West LAL 1964,Jerry West,,Jerry West,1964,LAL,5,206,156,57,115,0.496,,,,42,53,0.792,,,36,17,,,,20,,31.20,7.20,3.40,0.00,0.00,0.00,0.50,0.00,0.79,100.00,Conf Semis
Jerry West LAL 1965,Jerry West,,Jerry West,1965,LAL,11,470,447,155,351,0.442,,,,137,154,0.89,,,63,58,,,,37,,40.64,5.73,5.27,0.00,0.00,0.00,0.44,0.00,0.89,"10,000.00",Finalist
Jerry West LAL 1966,Jerry West,,Jerry West,1966,LAL,14,619,479,185,357,0.518,,,,109,125,0.872,,,88,79,,,,40,,34.21,6.29,5.64,0.00,0.00,0.00,0.52,0.00,0.87,"10,000.00",Finalist
Jerry West LAL 1967,Jerry West,,Jerry West,1967,LAL,1,1,0,0,0,0,,,,0,0,0,,,1,0,,,,0,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,Conf Semis
Jerry West LAL 1968,Jerry West,,Jerry West,1968,LAL,15,622,462,165,313,0.527,,,,132,169,0.781,,,81,82,,,,47,,30.80,5.40,5.47,0.00,0.00,0.00,0.53,0.00,0.78,"10,000.00",Finalist
Jerry West LAL 1969,Jerry West,,Jerry West,1969,LAL,18,757,556,196,423,0.463,,,,164,204,0.804,,,71,135,,,,52,,30.89,3.94,7.50,0.00,0.00,0.00,0.46,0.00,0.80,"10,000.00",Finalist
Jerry West LAL 1970,Jerry West,,Jerry West,1970,LAL,18,830,562,196,418,0.469,,,,170,212,0.802,,,66,151,,,,55,,31.22,3.67,8.39,0.00,0.00,0.00,0.47,0.00,0.80,"10,000.00",Finalist
Jerry West LAL 1972,Jerry West,,Jerry West,1972,LAL,15,608,344,128,340,0.376,,,,88,106,0.83,,,73,134,,,,39,,22.93,4.87,8.93,0.00,0.00,0.00,0.38,0.00,0.83,"100,000.00",Champion
Jerry West LAL 1973,Jerry West,,Jerry West,1973,LAL,17,638,401,151,336,0.449,,,,99,127,0.78,,,76,132,,,,49,,23.59,4.47,7.76,0.00,0.00,0.00,0.45,0.00,0.78,"10,000.00",Finalist
Jerry West LAL 1974,Jerry West,,Jerry West,1974,LAL,1,14,4,2,9,0.222,,,,0,0,0,0,2,2,1,0,0,,1,,4.00,2.00,1.00,0.00,0.00,0.00,0.22,0.00,0.00,100.00,Conf Semis
Jerryd Bayless POR 2009,Jerryd Bayless,,Jerryd Bayless,2009,POR,2,11.4,6,2,6,0.333,0,1,0,2,3,0.667,0,1,1,0,0,1,1,0,,3.00,0.50,0.00,0.00,0.50,0.50,0.33,0.00,0.67,10.00,First Round
Jerryd Bayless POR 2010,Jerryd Bayless,,Jerryd Bayless,2010,POR,6,165.8,81,28,65,0.431,6,15,0.4,19,24,0.792,4,12,16,23,2,0,8,21,,13.50,2.67,3.83,0.33,0.00,1.33,0.43,0.40,0.79,10.00,First Round
Jerryd Bayless MEM 2013,Jerryd Bayless,,Jerryd Bayless,2013,MEM,15,319.5,139,49,137,0.358,18,59,0.305,23,26,0.885,1,29,30,32,7,5,16,35,,9.27,2.00,2.13,0.47,0.33,1.07,0.36,0.31,0.88,"1,000.00",Conf Finalist
Jerryd Bayless MIL 2015,Jerryd Bayless,,Jerryd Bayless,2015,MIL,6,120.2,39,12,35,0.343,2,7,0.286,13,17,0.765,4,11,15,18,2,2,4,12,,6.50,2.50,3.00,0.33,0.33,0.67,0.34,0.29,0.76,10.00,First Round
Jerryd Bayless PHI 2018,Jerryd Bayless,,Jerryd Bayless,2018,PHI,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,Conf Semis
Jeryl Sasser ORL 2003,Jeryl Sasser,,Jeryl Sasser,2003,ORL,6,25,5,2,7,0.286,1,4,0.25,0,0,0,1,4,5,1,1,1,1,1,,0.83,0.83,0.17,0.17,0.17,0.17,0.29,0.25,0.00,10.00,First Round
Jesse Dark NYK 1975,Jesse Dark,,Jesse Dark,1975,NYK,2,11,7,1,6,0.167,,,,5,5,1,1,0,1,1,0,0,,2,,3.50,0.50,0.50,0.00,0.00,0.00,0.17,0.00,1.00,10.00,First Round
Jett Howard ORL 2024,Jett Howard,Jett Howard,Jett Howard,2024,ORL,2,9.8,5,2,3,66.7,1,1,100,0,0,0,0,1,1,1,0,0,2,1,,2.50,0.50,0.50,0.00,0.00,1.00,0.67,1.00,0.00,10.00,First Round
Jevon Carter PHX 2021,Jevon Carter,Jevon Carter,Jevon Carter,2021,PHX,7,21.9,6,3,8,0.375,0,2,0,0,2,0,0,2,2,4,0,0,0,0,,0.86,0.29,0.57,0.00,0.00,0.00,0.38,0.00,0.00,"10,000.00",Finalist
Jevon Carter MIL 2022,Jevon Carter,Jevon Carter,Jevon Carter,2022,MIL,11,125.9,23,9,19,0.474,3,7,0.429,2,2,1,3,13,16,10,8,0,6,12,,2.09,1.45,0.91,0.73,0.00,0.55,0.47,0.43,1.00,100.00,Conf Semis
Jevon Carter MIL 2023,Jevon Carter,Jevon Carter,Jevon Carter,2023,MIL,4,49.3,5,2,9,0.222,1,7,0.143,0,0,0,0,4,4,4,1,0,0,1,,1.25,1.00,1.00,0.25,0.00,0.00,0.22,0.14,0.00,10.00,First Round
Jim Ard BOS 1975,Jim Ard,,Jim Ard,1975,BOS,5,14,2,1,8,0.125,,,,0,0,0,2,0,2,1,0,1,,5,,0.40,0.40,0.20,0.00,0.20,0.00,0.13,0.00,0.00,"1,000.00",Conf Finalist
Jim Ard BOS 1976,Jim Ard,,Jim Ard,1976,BOS,16,110,37,13,29,0.448,,,,11,14,0.786,10,16,26,8,1,3,,29,,2.31,1.63,0.50,0.06,0.19,0.00,0.45,0.00,0.79,"100,000.00",Champion
Jim Baechtold BAL 1953,Jim Baechtold,,Jim Baechtold,1953,BAL,2,86,38,16,30,0.533,,,,6,11,0.545,,,8,11,,,,9,,19.00,4.00,5.50,0.00,0.00,0.00,0.53,0.00,0.55,100.00,Conf Semis
Jim Baechtold NYK 1954,Jim Baechtold,,Jim Baechtold,1954,NYK,4,106,35,12,29,0.414,,,,11,13,0.846,,,10,11,,,,19,,8.75,2.50,2.75,0.00,0.00,0.00,0.41,0.00,0.85,,
Jim Baechtold NYK 1955,Jim Baechtold,,Jim Baechtold,1955,NYK,3,115,48,17,45,0.378,,,,14,15,0.933,,,14,14,,,,13,,16.00,4.67,4.67,0.00,0.00,0.00,0.38,0.00,0.93,100.00,Conf Semis
Jim Barnes WAS 1966,Jim Barnes,,Jim Barnes,1966,WAS,3,93,39,16,32,0.5,,,,7,13,0.538,,,28,3,,,,15,,13.00,9.33,1.00,0.00,0.00,0.00,0.50,0.00,0.54,100.00,Conf Semis
Jim Barnes LAL 1967,Jim Barnes,,Jim Barnes,1967,LAL,3,50,19,7,19,0.368,,,,5,5,1,,,12,2,,,,7,,6.33,4.00,0.67,0.00,0.00,0.00,0.37,0.00,1.00,100.00,Conf Semis
Jim Barnes CHI 1968,Jim Barnes,,Jim Barnes,1968,CHI,5,57,6,3,12,0.25,,,,0,0,0,,,21,1,,,,13,,1.20,4.20,0.20,0.00,0.00,0.00,0.25,0.00,0.00,100.00,Conf Semis
Jim Barnett BOS 1967,Jim Barnett,,Jim Barnett,1967,BOS,5,26,14,6,21,0.286,,,,2,2,1,,,4,1,,,,5,,2.80,0.80,0.20,0.00,0.00,0.00,0.29,0.00,1.00,"1,000.00",Conf Finalist
Jim Barnett HOU 1969,Jim Barnett,,Jim Barnett,1969,HOU,6,51,25,9,23,0.391,,,,7,8,0.875,,,3,7,,,,5,,4.17,0.50,1.17,0.00,0.00,0.00,0.39,0.00,0.88,100.00,Conf Semis
Jim Barnett GSW 1972,Jim Barnett,,Jim Barnett,1972,GSW,5,197,108,39,91,0.429,,,,30,41,0.732,,,20,26,,,,20,,21.60,4.00,5.20,0.00,0.00,0.00,0.43,0.00,0.73,100.00,Conf Semis
