NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Al Bianchi,4,10,28.57%,,Jalen Williams,5,1,83.33%,,Bill Bradley,17,11,6,64.71%
Kobe Bryant,33,10,76.74%,,Cason Wallace,5,1,83.33%,,Dave DeBusschere,17,11,6,64.71%
Kyle Lowry,15,10,60.00%,,Chet Holmgren,5,1,83.33%,,Walt Frazier,17,11,6,64.71%
Jack Sikma,11,10,52.38%,,Jaylin Williams,5,1,83.33%,,Howard Eisley,17,11,6,64.71%
Mark Bryant,12,10,54.55%,,Bud Grant,5,1,83.33%,,Glen Davis,17,11,6,64.71%
Darryl Dawkins,13,10,56.52%,,Kenrich Williams,5,1,83.33%,,Cliff Levingston,17,11,6,64.71%
Nate McMillan,11,10,52.38%,,Jarace Walker,5,1,83.33%,,Anderson Varejao,17,11,6,64.71%
Alonzo Mourning,10,10,50.00%,,Joe Hassett,5,1,83.33%,,Pascal Siakam,17,11,6,64.71%
Dale Ellis,7,10,41.18%,,Damion Lee,5,1,83.33%,,Julius Erving,28,18,10,64.29%
Chris Webber,7,10,41.18%,,Jalen Smith,5,1,83.33%,,Bobby Jones,25,16,9,64.00%
Dick McGuire,8,10,44.44%,,Ronnie Lester,5,1,83.33%,,Mychal Thompson,25,16,9,64.00%
Aaron McKie,6,10,37.50%,,Dennis Rodman,29,6,82.86%,,Steve Mix,22,14,8,63.64%
Alex English,6,10,37.50%,,Michael Cooper,29,6,82.86%,,Paul Silas,30,19,11,63.33%
Joe Smith,5,10,33.33%,,Klay Thompson,24,5,82.76%,,Jrue Holiday,19,12,7,63.16%
Damian Lillard,4,10,28.57%,,Kurt Rambis,24,5,82.76%,,David Robinson,27,17,10,62.96%
Dell Curry,3,10,23.08%,,Greg Kite,14,3,82.35%,,Michael Finley,24,15,9,62.50%
Thaddeus Young,1,10,9.09%,,John Salley,23,5,82.14%,,Nikola Jokic,16,10,6,62.50%
Wayne Cooper,11,10,52.38%,,Shannon Brown,9,2,81.82%,,Greg Foster,16,10,6,62.50%
