NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Bob Ferry,3,6,33.33%,,Josh Green,5,3,62.50%,,,,,,
Marc Iavaroni,4,6,40.00%,,Bison Dele,5,3,62.50%,,,,,,
Christian Laettner,4,6,40.00%,,Nate Robinson,5,3,62.50%,,,,,,
Bojan Bogdanovic,3,6,33.33%,,Dante Exum,5,3,62.50%,,,,,,
Terrence Ross,3,6,33.33%,,Dick Schnittker,5,3,62.50%,,,,,,
Bradley Beal,3,6,33.33%,,Eric Fernsten,5,3,62.50%,,,,,,
Olden Polynice,2,6,25.00%,,Sterling Brown,5,3,62.50%,,,,,,
Jameer Nelson,3,6,33.33%,,Bruce Brown,5,3,62.50%,,,,,,
Reggie Evans,2,6,25.00%,,Kleggie Hermsen,5,3,62.50%,,,,,,
Aaron Brooks,2,6,25.00%,,Alaa Abdelnaby,5,3,62.50%,,,,,,
Arron Afflalo,2,6,25.00%,,Rodney Buford,5,3,62.50%,,,,,,
Tom Boerwinkle,2,6,25.00%,,Vlatko Cancar,5,3,62.50%,,,,,,
Malik Allen,2,6,25.00%,,Wilt Chamberlain,18,11,62.07%,,,,,,
Dee Brown (1968),1,6,14.29%,,Richard Jefferson,18,11,62.07%,,,,,,
Michael Cooper,29,6,82.86%,,Paul Westphal,13,8,61.90%,,,,,,
Steve Kerr,24,6,80.00%,,Mike Miller,13,8,61.90%,,,,,,
Anthony Johnson,14,6,70.00%,,Shane Battier,13,8,61.90%,,,,,,
Kyrie Irving,15,6,71.43%,,Pau Gasol,16,10,61.54%,,,,,,
Bill Sharman,12,6,66.67%,,Nazr Mohammed,16,10,61.54%,,,,,,
Mel Counts,12,6,66.67%,,Stephen Jackson,8,5,61.54%,,,,,,
Bill Wennington,12,6,66.67%,,Jalen Rose,8,5,61.54%,,,,,,
Gerald Green,9,6,60.00%,,Robert Williams,8,5,61.54%,,,,,,
Rick Barry,9,6,60.00%,,Pat Riley,8,5,61.54%,,,,,,
Duncan Robinson,8,6,57.14%,,Maurice Williams,8,5,61.54%,,,,,,
Jim Krebs,7,6,53.85%,,Scott Hastings,8,5,61.54%,,,,,,
Brian Grant,7,6,53.85%,,Nick Collison,11,7,61.11%,,,,,,
Juwan Howard,8,6,57.14%,,Lionel Hollins,11,7,61.11%,,,,,,
Calvin Murphy,6,6,50.00%,,Reggie Jackson,11,7,61.11%,,,,,,
Enes Kanter,6,6,50.00%,,Kevin Grevey,11,7,61.11%,,,,,,
Matt Geiger,6,6,50.00%,,Eric Snow,14,9,60.87%,,,,,,
Maurice Evans,5,6,45.45%,,Jeff Hornacek,17,11,60.71%,,,,,,
Bob Davies,6,6,50.00%,,Jerry West,17,11,60.71%,,,,,,
Bobby Wanzer,6,6,50.00%,,Chauncey Billups,17,11,60.71%,,,,,,
Frank Selvy,5,6,45.45%,,Rasheed Wallace,20,13,60.61%,,,,,,
Charles Jones (1957),6,6,50.00%,,Kyle Lowry,15,10,60.00%,,,,,,
J.R. Reid,5,6,45.45%,,Greg Anthony,12,8,60.00%,,,,,,
Lance Stephenson,5,6,45.45%,,Jacque Vaughn,12,8,60.00%,,,,,,
Red Rocha,4,6,40.00%,,Torrey Craig,9,6,60.00%,,,,,,
Guy Rodgers,4,6,40.00%,,Marquis Daniels,9,6,60.00%,,,,,,
Rich Kelley,4,6,40.00%,,Ian Mahinmi,9,6,60.00%,,,,,,
Ryan Anderson,5,6,45.45%,,Chris Andersen,9,6,60.00%,,,,,,
Artis Gilmore,4,6,40.00%,,Gerald Green,9,6,60.00%,,,,,,
James Johnson,5,6,45.45%,,Rick Barry,9,6,60.00%,,,,,,
Randy Wittman,3,6,33.33%,,Oliver Miller,6,4,60.00%,,,,,,
Reggie Lewis,4,6,40.00%,,Daequan Cook,6,4,60.00%,,,,,,
Tyler Hansbrough,3,6,33.33%,,Donte DiVincenzo,6,4,60.00%,,,,,,
Joe Ellis,3,6,33.33%,,Otto Porter,6,4,60.00%,,,,,,
Darrell Griffith,3,6,33.33%,,Obi Toppin,6,4,60.00%,,,,,,
Rod Higgins,3,6,33.33%,,Phil Smith,6,4,60.00%,,,,,,
Jose Calderon,3,6,33.33%,,Mikal Bridges,6,4,60.00%,,,,,,
Jamaal Tinsley,3,6,33.33%,,Tiny Archibald,6,4,60.00%,,,,,,
Shake Milton,3,6,33.33%,,Billy Kenville,6,4,60.00%,,,,,,
Jack Twyman,2,6,25.00%,,Daniel Theis,6,4,60.00%,,,,,,
Jim Davis,2,6,25.00%,,David Lee,6,4,60.00%,,,,,,
Bob Love,2,6,25.00%,,Chucky Brown,6,4,60.00%,,,,,,
Howard Porter,2,6,25.00%,,Bryn Forbes,6,4,60.00%,,,,,,
Lawrence Funderburke,4,6,40.00%,,Dick Farley,3,2,60.00%,,,,,,
Kosta Koufos,2,6,25.00%,,Emmette Bryant,3,2,60.00%,,,,,,
Chuck Noble,2,6,25.00%,,Bruce Seals,3,2,60.00%,,,,,,
Kevin Gamble,2,6,25.00%,,Tom LaGarde,3,2,60.00%,,,,,,
Othella Harrington,2,6,25.00%,,Daniel Gafford,3,2,60.00%,,,,,,
Monta Ellis,1,6,14.29%,,Johnny McCarthy,3,2,60.00%,,,,,,
Chris Duhon,1,6,14.29%,,Lewis Lloyd,3,2,60.00%,,,,,,
Malik Rose,13,6,68.42%,,Negele Knight,3,2,60.00%,,,,,,
Pascal Siakam,11,6,64.71%,,Henry James,3,2,60.00%,,,,,,
Eddie House,10,6,62.50%,,DeSagana Diop,3,2,60.00%,,,,,,
Charles Davis,8,6,57.14%,,Chris Copeland,3,2,60.00%,,,,,,
Glen Rice,6,6,50.00%,,Guerschon Yabusele,3,2,60.00%,,,,,,
DeMarre Carroll,6,6,50.00%,,Leroy Chollet,3,2,60.00%,,,,,,
Walter McCarty,6,6,50.00%,,Mark Pope,3,2,60.00%,,,,,,
Brendan Haywood,6,6,50.00%,,Brad Wanamaker,3,2,60.00%,,,,,,
Nick Anderson,5,6,45.45%,,Don May,3,2,60.00%,,,,,,
Vladimir Radmanovic,5,6,45.45%,,Dirk Minniefield,3,2,60.00%,,,,,,
Elston Turner,4,6,40.00%,,Eric Williams,3,2,60.00%,,,,,,
Jaren Jackson,5,6,45.45%,,Darrell Arthur,3,2,60.00%,,,,,,
Mike Muscala,5,6,45.45%,,Randy Foye,3,2,60.00%,,,,,,
Don Buse,4,6,40.00%,,Cornell Warner,3,2,60.00%,,,,,,
DeShawn Stevenson,4,6,40.00%,,Dick Gibbs,3,2,60.00%,,,,,,
Patrick Patterson,4,6,40.00%,,Chick Reiser,3,2,60.00%,,,,,,
Bobby Phills,4,6,40.00%,,Hawthorne Wingo,3,2,60.00%,,,,,,
Fast Eddie Johnson,3,6,33.33%,,Alfonzo McKinnie,3,2,60.00%,,,,,,
Mike Mitchell,3,6,33.33%,,Kendrick Nunn,3,2,60.00%,,,,,,
Tony Smith,3,6,33.33%,,Willie McCarter,3,2,60.00%,,,,,,
Keith Askins,2,6,25.00%,,McCoy McLemore,3,2,60.00%,,,,,,
Scott Padgett,2,6,25.00%,,Calvin Garrett,3,2,60.00%,,,,,,
Garrett Temple,2,6,25.00%,,Willie White,3,2,60.00%,,,,,,
Raul Neto,2,6,25.00%,,Cedi Osman,3,2,60.00%,,,,,,
Alec Burks,1,6,14.29%,,Wang Zhizhi,3,2,60.00%,,,,,,
Danny Young,7,6,53.85%,,Granville Waiters,3,2,60.00%,,,,,,
Tony Campbell,10,6,62.50%,,Cole Aldrich,3,2,60.00%,,,,,,
Brian Scalabrine,8,6,57.14%,,TJ Warren,3,2,60.00%,,,,,,
Ed Nealy,5,6,45.45%,,Lucas Nogueira,3,2,60.00%,,,,,,
CJ Miles,4,6,40.00%,,Shaquille Harrison,3,2,60.00%,,,,,,
Kevin Loughery,3,6,33.33%,,Boo Ellis,3,2,60.00%,,,,,,
Mel Hutchins,2,6,25.00%,,Donny Marshall,3,2,60.00%,,,,,,
Fred Schaus,2,6,25.00%,,Adonal Foyle,3,2,60.00%,,,,,,
Donald Royal,6,6,50.00%,,Brad Holland,3,2,60.00%,,,,,,
Michael Curry,3,6,33.33%,,Dick Barnett,13,9,59.09%,,,,,,
Leo Barnhorst,1,6,14.29%,,Shawn Marion,13,9,59.09%,,,,,,
Klay Thompson,24,5,82.76%,,Boris Diaw,13,9,59.09%,,,,,,
Ron Harper,20,5,80.00%,,Fred Brown,10,7,58.82%,,,,,,
Devean George,15,5,75.00%,,Adam Keefe,10,7,58.82%,,,,,,
Scott Williams,15,5,75.00%,,Cory Joseph,10,7,58.82%,,,,,,
Dave Cowens,11,5,68.75%,,Connie Simmons,10,7,58.82%,,,,,,
Willis Reed,9,5,64.29%,,Zaza Pachulia,10,7,58.82%,,,,,,
Earl Cureton,12,5,70.59%,,Al Horford,21,15,58.33%,,,,,,
Andrew Toney,10,5,66.67%,,Charles Smith (1965),7,5,58.33%,,,,,,
Charles Smith (1965),7,5,58.33%,,Adrian Griffin,7,5,58.33%,,,,,,
Marco Belinelli,6,5,54.55%,,Max Strus,7,5,58.33%,,,,,,
Jalen Brunson,6,5,54.55%,,Aaron Gordon,7,5,58.33%,,,,,,
Adrian Griffin,7,5,58.33%,,Latrell Sprewell,7,5,58.33%,,,,,,
Derrick Jones,6,5,54.55%,,Jared Dudley,7,5,58.33%,,,,,,
Lucious Jackson,5,5,50.00%,,Keith Van Horn,7,5,58.33%,,,,,,
Luka Doncic,5,5,50.00%,,Antoine Walker,7,5,58.33%,,,,,,
Ronnie Brewer,6,5,54.55%,,TJ McConnell,7,5,58.33%,,,,,,
Jim Petersen,5,5,50.00%,,Lonnie Shelton,7,5,58.33%,,,,,,
Bobby Portis,5,5,50.00%,,Vernon Maxwell,7,5,58.33%,,,,,,
Bill Gabor,6,5,54.55%,,Anthony Davis,7,5,58.33%,,,,,,
Brad Davis,4,5,44.44%,,Fred VanVleet,7,5,58.33%,,,,,,
Corey Brewer,5,5,50.00%,,Keyon Dooling,7,5,58.33%,,,,,,
Karl-Anthony Towns,4,5,44.44%,,Wes Matthews,7,5,58.33%,,,,,,
Spud Webb,3,5,37.50%,,Jeff Ayres,7,5,58.33%,,,,,,
Carlos Delfino,4,5,44.44%,,Matt Bullard,7,5,58.33%,,,,,,
Monty Williams,4,5,44.44%,,Ronny Turiaf,7,5,58.33%,,,,,,
Quentin Richardson,3,5,37.50%,,Sean Elliott,11,8,57.89%,,,,,,
Gene Tormohlen,4,5,44.44%,,Dahntay Jones,11,8,57.89%,,,,,,
Spencer Hawes,2,5,28.57%,,Herb Williams,11,8,57.89%,,,,,,
Jim Barnett,2,5,28.57%,,Elgin Baylor,15,11,57.69%,,,,,,
Dave Bing,1,5,16.67%,,Elden Campbell,15,11,57.69%,,,,,,
Jim Fox,1,5,16.67%,,Maurice Cheeks,16,12,57.14%,,,,,,
George Trapp,1,5,16.67%,,Tony Allen,12,9,57.14%,,,,,,
Kent Benson,2,5,28.57%,,Avery Johnson,12,9,57.14%,,,,,,
Pat Cummings,1,5,16.67%,,Raja Bell,8,6,57.14%,,,,,,
Steve Colter,1,5,16.67%,,Larry Johnson (1969),8,6,57.14%,,,,,,
Wesley Person,1,5,16.67%,,Chris Childs,8,6,57.14%,,,,,,
Taurean Prince,0,5,0.00%,,Jim McMillian,8,6,57.14%,,,,,,
Kurt Rambis,24,5,82.76%,,Greg Ballard,8,6,57.14%,,,,,,
John Salley,23,5,82.14%,,Duncan Robinson,8,6,57.14%,,,,,,
Will Perdue,21,5,80.77%,,Juwan Howard,8,6,57.14%,,,,,,
Slater Martin,19,5,79.17%,,Charles Davis,8,6,57.14%,,,,,,
BJ Armstrong,17,5,77.27%,,Brian Scalabrine,8,6,57.14%,,,,,,
Luke Walton,14,5,73.68%,,Dave Stallworth,4,3,57.14%,,,,,,
Tom Henderson,11,5,68.75%,,Felton Spencer,4,3,57.14%,,,,,,
M.L. Carr,12,5,70.59%,,Josh Hart,4,3,57.14%,,,,,,
Derrick White,10,5,66.67%,,Miles McBride,4,3,57.14%,,,,,,
Henry Bibby,10,5,66.67%,,Tom Meschery,4,3,57.14%,,,,,,
Iman Shumpert,12,5,70.59%,,Charlie Scott,4,3,57.14%,,,,,,
Quinn Buckner,9,5,64.29%,,Herm Gilliam,4,3,57.14%,,,,,,
Stephen Jackson,8,5,61.54%,,Jaden McDaniels,4,3,57.14%,,,,,,
Jalen Rose,8,5,61.54%,,Naz Reid,4,3,57.14%,,,,,,
Robert Williams,8,5,61.54%,,Mitch Richmond,4,3,57.14%,,,,,,
Max Strus,7,5,58.33%,,Jason Hart,4,3,57.14%,,,,,,
Aaron Gordon,7,5,58.33%,,Tom Thacker,4,3,57.14%,,,,,,
Latrell Sprewell,7,5,58.33%,,Mitchell Robinson,4,3,57.14%,,,,,,
Markieff Morris,6,5,54.55%,,George Dempsey,4,3,57.14%,,,,,,
Jared Dudley,7,5,58.33%,,Ernie Beck,4,3,57.14%,,,,,,
Gabe Vincent,6,5,54.55%,,Bill Willoughby,4,3,57.14%,,,,,,
Ray Lumpp,6,5,54.55%,,Jumaine Jones,4,3,57.14%,,,,,,
Terry Teagle,6,5,54.55%,,Francisco Elson,4,3,57.14%,,,,,,
Dwight Powell,5,5,50.00%,,Cameron Johnson,4,3,57.14%,,,,,,
George King (1928),6,5,54.55%,,Jason Maxiell,4,3,57.14%,,,,,,
Andrew Lang,6,5,54.55%,,Sam Young,4,3,57.14%,,,,,,
Kelly Olynyk,5,5,50.00%,,Thanasis Antetokounmpo,4,3,57.14%,,,,,,
OG Anunoby,5,5,50.00%,,Fred Hoiberg,4,3,57.14%,,,,,,
Kevin Ollie,4,5,44.44%,,Kelvin Cato,4,3,57.14%,,,,,,
Courtney Lee,4,5,44.44%,,Jeremy Lin,4,3,57.14%,,,,,,
Maxi Kleber,4,5,44.44%,,Royal Ivey,4,3,57.14%,,,,,,
Jim Jackson,5,5,50.00%,,Jim Cleamons,4,3,57.14%,,,,,,
Davis Bertans,4,5,44.44%,,Bud Olsen,4,3,57.14%,,,,,,
Ernie Grunfeld,4,5,44.44%,,Josh Minott,4,3,57.14%,,,,,,
Alan Henderson,4,5,44.44%,,Darryl Dawkins,13,10,56.52%,,,,,,
Michael Doleac,5,5,50.00%,,Marcin Gortat,9,7,56.25%,,,,,,
Donyell Marshall,4,5,44.44%,,Gail Goodrich,9,7,56.25%,,,,,,
Ronald Murray,4,5,44.44%,,Rolando Blackman,9,7,56.25%,,,,,,
Eric Bledsoe,4,5,44.44%,,Jack Coleman,9,7,56.25%,,,,,,
Jim Brewer,4,5,44.44%,,Charlie Ward,9,7,56.25%,,,,,,
Joe Caldwell,4,5,44.44%,,Keith Erickson,9,7,56.25%,,,,,,
Brad Daugherty,3,5,37.50%,,Mike Dunleavy Sr,9,7,56.25%,,,,,,
Solomon Hill,4,5,44.44%,,Cameron Payne,9,7,56.25%,,,,,,
Malik Beasley,3,5,37.50%,,Earl Monroe,9,7,56.25%,,,,,,
Ray Felix,3,5,37.50%,,Paul Seymour,10,8,55.56%,,,,,,
World B. Free,3,5,37.50%,,Antonio McDyess,10,8,55.56%,,,,,,
Bob Brannum,3,5,37.50%,,Maurice Lucas,10,8,55.56%,,,,,,
Johnny Moore,3,5,37.50%,,Clyde Lovellette,10,8,55.56%,,,,,,
Duane Ferrell,3,5,37.50%,,Matt Barnes,10,8,55.56%,,,,,,
Elton Brand,3,5,37.50%,,Danny Ferry,10,8,55.56%,,,,,,
Malcolm Brogdon,3,5,37.50%,,Roy Hibbert,5,4,55.56%,,,,,,
Jeff Cook,2,5,28.57%,,Curtis Perry,5,4,55.56%,,,,,,
Sam Bowie,2,5,28.57%,,Luis Scola,5,4,55.56%,,,,,,
Larry Smith,3,5,37.50%,,Terry Rozier,5,4,55.56%,,,,,,
Morris Peterson,2,5,28.57%,,Tom Gola,5,4,55.56%,,,,,,
DJ Augustin,2,5,28.57%,,Lucius Allen,5,4,55.56%,,,,,,
Omer Asik,2,5,28.57%,,Devin Booker,5,4,55.56%,,,,,,
Darren Collison,2,5,28.57%,,Johnny Egan,5,4,55.56%,,,,,,
Dorian Finney-Smith,2,5,28.57%,,Xavier Tillman,5,4,55.56%,,,,,,
Togo Palazzi,3,5,37.50%,,Darrell Walker,5,4,55.56%,,,,,,
Ron Anderson,2,5,28.57%,,Gary Neal,5,4,55.56%,,,,,,
Michael Beasley,2,5,28.57%,,Jodie Meeks,5,4,55.56%,,,,,,
Mike Gale,1,5,16.67%,,Haywood Highsmith,5,4,55.56%,,,,,,
David Thompson,1,5,16.67%,,Red Holzman,5,4,55.56%,,,,,,
Manute Bol,2,5,28.57%,,Arnie Johnson,5,4,55.56%,,,,,,
Buck Johnson,1,5,16.67%,,Sean Rooks,5,4,55.56%,,,,,,
Kendall Gill,1,5,16.67%,,Devin Brown,5,4,55.56%,,,,,,
John Salmons,1,5,16.67%,,Semi Ojeleye,5,4,55.56%,,,,,,
Gilbert Arenas,1,5,16.67%,,Steve Scheffler,5,4,55.56%,,,,,,
Steve Novak,1,5,16.67%,,Zeke Nnaji,5,4,55.56%,,,,,,
Luc Mbah a Moute,1,5,16.67%,,Slick Leonard,5,4,55.56%,,,,,,
Mike Dunleavy,1,5,16.67%,,Hank Finkel,5,4,55.56%,,,,,,
Connie Dierking,1,5,16.67%,,Derek Anderson,5,4,55.56%,,,,,,
Kelly Tripucka,1,5,16.67%,,Paul Pierce,16,13,55.17%,,,,,,
Tom Owens,0,5,0.00%,,Hakeem Olajuwon,16,13,55.17%,,,,,,
Pat Garrity,0,5,0.00%,,Patrick Ewing,16,13,55.17%,,,,,,
Samuel Dalembert,0,5,0.00%,,Gus Williams,11,9,55.00%,,,,,,
Vern Mikkelsen,18,5,78.26%,,Trevor Ariza,11,9,55.00%,,,,,,
Craig Hodges,16,5,76.19%,,Marcus Smart,11,9,55.00%,,,,,,
Mike McGee,16,5,76.19%,,Jason Collins,11,9,55.00%,,,,,,
JaVale McGee,13,5,72.22%,,Sam Perkins,18,15,54.55%,,,,,,
Pat Riley,8,5,61.54%,,Tom Chambers,12,10,54.55%,,,,,,
Keith Van Horn,7,5,58.33%,,Mark Bryant,12,10,54.55%,,,,,,
Antoine Walker,7,5,58.33%,,Marco Belinelli,6,5,54.55%,,,,,,
TJ McConnell,7,5,58.33%,,Jalen Brunson,6,5,54.55%,,,,,,
Lonnie Shelton,7,5,58.33%,,Derrick Jones,6,5,54.55%,,,,,,
Vernon Maxwell,7,5,58.33%,,Ronnie Brewer,6,5,54.55%,,,,,,
Maurice Williams,8,5,61.54%,,Bill Gabor,6,5,54.55%,,,,,,
Anthony Davis,7,5,58.33%,,Markieff Morris,6,5,54.55%,,,,,,
Dennis Awtrey,6,5,54.55%,,Gabe Vincent,6,5,54.55%,,,,,,
Scott Hastings,8,5,61.54%,,Ray Lumpp,6,5,54.55%,,,,,,
Aleksandar Pavlovic,9,5,64.29%,,Terry Teagle,6,5,54.55%,,,,,,
Tony Battie,6,5,54.55%,,George King (1928),6,5,54.55%,,,,,,
Fred VanVleet,7,5,58.33%,,Andrew Lang,6,5,54.55%,,,,,,
Keyon Dooling,7,5,58.33%,,Dennis Awtrey,6,5,54.55%,,,,,,
Clifford Ray,6,5,54.55%,,Tony Battie,6,5,54.55%,,,,,,
Jonas Jerebko,6,5,54.55%,,Clifford Ray,6,5,54.55%,,,,,,
Monte Morris,6,5,54.55%,,Jonas Jerebko,6,5,54.55%,,,,,,
Wes Matthews,7,5,58.33%,,Monte Morris,6,5,54.55%,,,,,,
Tyler Herro,6,5,54.55%,,Tyler Herro,6,5,54.55%,,,,,,
Bob Boozer,5,5,50.00%,,DeJuan Blair,6,5,54.55%,,,,,,
Marvin Webster,5,5,50.00%,,Anthony Bowie,6,5,54.55%,,,,,,
Corie Blount,5,5,50.00%,,Larry Hughes,6,5,54.55%,,,,,,
Shawn Bradley,5,5,50.00%,,Dwight Howard,13,11,54.17%,,,,,,
Jarron Collins,5,5,50.00%,,Bryon Russell,13,11,54.17%,,,,,,
Vince Boryla,5,5,50.00%,,Mark West,13,11,54.17%,,,,,,
Freddie Crawford,4,5,44.44%,,Travis Best,7,6,53.85%,,,,,,
John Lambert,4,5,44.44%,,Damon Jones,7,6,53.85%,,,,,,
Scott Brooks,4,5,44.44%,,Allan Houston,7,6,53.85%,,,,,,
Jonathan Bender,5,5,50.00%,,Jim Krebs,7,6,53.85%,,,,,,
Carlos Arroyo,4,5,44.44%,,Brian Grant,7,6,53.85%,,,,,,
DeJuan Blair,6,5,54.55%,,Danny Young,7,6,53.85%,,,,,,
Derrick Favors,3,5,37.50%,,Derrick McKey,15,13,53.57%,,,,,,
Paul Walther,3,5,37.50%,,Clyde Drexler,16,14,53.33%,,,,,,
Chuck Cooper,3,5,37.50%,,Dale Davis,16,14,53.33%,,,,,,
Gus Johnson,3,5,37.50%,,Khris Middleton,8,7,53.33%,,,,,,
Orlando Woolridge,4,5,44.44%,,Mike Riordan,8,7,53.33%,,,,,,
Rory Sparrow,3,5,37.50%,,Adrian Dantley,8,7,53.33%,,,,,,
Armen Gilliam,4,5,44.44%,,Nick Van Exel,8,7,53.33%,,,,,,
Gordon Hayward,4,5,44.44%,,Kevin Duckworth,8,7,53.33%,,,,,,
Ed Davis,3,5,37.50%,,Chris Morris,8,7,53.33%,,,,,,
Ron Williams,3,5,37.50%,,Bam Adebayo,8,7,53.33%,,,,,,
Kevin Porter (1950),2,5,28.57%,,Clemon Johnson,8,7,53.33%,,,,,,
Norm Van Lier,2,5,28.57%,,Trent Tucker,8,7,53.33%,,,,,,
Dudley Bradley,2,5,28.57%,,Marc Gasol,9,8,52.94%,,,,,,
Gary Trent,2,5,28.57%,,Chris Mullin,9,8,52.94%,,,,,,
Spencer Dinwiddie,2,5,28.57%,,Bailey Howell,9,8,52.94%,,,,,,
Montrezl Harrell,3,5,37.50%,,Metta World Peace,9,8,52.94%,,,,,,
Bones McKinney,2,5,28.57%,,Arnie Risen,9,8,52.94%,,,,,,
Larry Kenon,2,5,28.57%,,Scot Pollard,9,8,52.94%,,,,,,
John Drew,2,5,28.57%,,Norman Powell,9,8,52.94%,,,,,,
Bernard King,2,5,28.57%,,John Starks,10,9,52.63%,,,,,,
Tom Hammonds,1,5,16.67%,,Greg Ostertag,10,9,52.63%,,,,,,
Stephon Marbury,1,5,16.67%,,Thabo Sefolosha,10,9,52.63%,,,,,,
Jerome Williams,1,5,16.67%,,Kevin Willis,11,10,52.38%,,,,,,
Robert Traylor,1,5,16.67%,,Hidayet Turkoglu,11,10,52.38%,,,,,,
Grayson Allen,1,5,16.67%,,Rik Smits,11,10,52.38%,,,,,,
Mickey Johnson,1,5,16.67%,,Jeff Green,11,10,52.38%,,,,,,
Gary Grant,1,5,16.67%,,Jack Sikma,11,10,52.38%,,,,,,
Bo Outlaw,1,5,16.67%,,Nate McMillan,11,10,52.38%,,,,,,
Ruben Patterson,1,5,16.67%,,Wayne Cooper,11,10,52.38%,,,,,,
Terry Mills,0,5,0.00%,,Caldwell Jones,13,12,52.00%,,,,,,
Loy Vaught,0,5,0.00%,,Rick Mahorn,13,12,52.00%,,,,,,
Rick Fox,20,5,80.00%,,George Hill,14,13,51.85%,,,,,,
Gerald Henderson Sr,15,5,75.00%,,Gary Payton,15,14,51.72%,,,,,,
Shandon Anderson,13,5,72.22%,,Jerome Kersey,15,14,51.72%,,,,,,
Jeff Ayres,7,5,58.33%,,Karl Malone,19,19,50.00%,,,,,,
Matt Bullard,7,5,58.33%,,Jason Kidd,16,16,50.00%,,,,,,
Ronny Turiaf,7,5,58.33%,,Kyle Korver,14,14,50.00%,,,,,,
Rudy Tomjanovich,5,5,50.00%,,Kevin Garnett,13,13,50.00%,,,,,,
Ray Williams,5,5,50.00%,,Dan Majerle,13,13,50.00%,,,,,,
Dennis Scott,5,5,50.00%,,Jimmy Butler,12,12,50.00%,,,,,,
Mike Bratz,4,5,44.44%,,Antoine Carr,11,11,50.00%,,,,,,
Dana Barros,4,5,44.44%,,Bill Bridges,11,11,50.00%,,,,,,
George Senesky,4,5,44.44%,,Kevin Johnson,11,11,50.00%,,,,,,
Joe Fulks,4,5,44.44%,,Wes Unseld,11,11,50.00%,,,,,,
Furkan Korkmaz,5,5,50.00%,,Kenyon Martin,11,11,50.00%,,,,,,
Al-Farouq Aminu,3,5,37.50%,,PJ Brown,10,10,50.00%,,,,,,
Seth Curry,3,5,37.50%,,Derek Harper,10,10,50.00%,,,,,,
Kurt Nimphius,3,5,37.50%,,Predrag Stojakovic,10,10,50.00%,,,,,,
Darrick Martin,3,5,37.50%,,Alonzo Mourning,10,10,50.00%,,,,,,
Monk Meineke,2,5,28.57%,,Jeff Mullins,9,9,50.00%,,,,,,
Bob Harris,3,5,37.50%,,Antonio Davis,9,9,50.00%,,,,,,
Blair Rasmussen,2,5,28.57%,,Elvin Hayes,9,9,50.00%,,,,,,
Joe Harris,3,5,37.50%,,Pat Connaughton,9,9,50.00%,,,,,,
Jerryd Bayless,2,5,28.57%,,Harry Gallatin,9,9,50.00%,,,,,,
Quincy Pondexter,2,5,28.57%,,Robert Reid,9,9,50.00%,,,,,,
Mike Glenn,2,5,28.57%,,Jeff Teague,9,9,50.00%,,,,,,
Muggsy Bogues,1,5,16.67%,,Bob Pettit,8,8,50.00%,,,,,,
Kris Humphries,2,5,28.57%,,Cliff Hagan,8,8,50.00%,,,,,,
Roger Mason,1,5,16.67%,,Brook Lopez,8,8,50.00%,,,,,,
Greg Anderson,1,5,16.67%,,Clint Capela,8,8,50.00%,,,,,,
Harvey Grant,1,5,16.67%,,Giannis Antetokounmpo,8,8,50.00%,,,,,,
Eric Piatkowski,1,5,16.67%,,Hersey Hawkins,8,8,50.00%,,,,,,
George Wilson,0,5,0.00%,,Truck Robinson,8,8,50.00%,,,,,,
George McCloud,0,5,0.00%,,Jerry Lucas,7,7,50.00%,,,,,,
James Robinson,0,5,0.00%,,Alex Hannum,7,7,50.00%,,,,,,
Don Reid,0,5,0.00%,,Corliss Williamson,7,7,50.00%,,,,,,
Jusuf Nurkic,0,5,0.00%,,Phil Jackson,7,7,50.00%,,,,,,
Chucky Atkins,3,5,37.50%,,Marcus Morris,7,7,50.00%,,,,,,
Doug McDermott,3,5,37.50%,,Nat Clifton,7,7,50.00%,,,,,,
Dave Greenwood,3,5,37.50%,,Jack Nichols,7,7,50.00%,,,,,,
Gene Banks,2,5,28.57%,,Leroy Ellis,7,7,50.00%,,,,,,
Dorell Wright,2,5,28.57%,,Jason Williams,7,7,50.00%,,,,,,
Ishmael Smith,3,5,37.50%,,Randy Breuer,7,7,50.00%,,,,,,
Mike O'Koren,1,5,16.67%,,Wayne Embry,6,6,50.00%,,,,,,
Albert King,1,5,16.67%,,David Benoit,6,6,50.00%,,,,,,
Michael Adams,1,5,16.67%,,Landry Shamet,6,6,50.00%,,,,,,
Larry Krystkowiak,1,5,16.67%,,Jack McMahon,6,6,50.00%,,,,,,
Aaron Holiday,1,5,16.67%,,Jon McGlocklin,6,6,50.00%,,,,,,
Ed Mikan,0,5,0.00%,,Chris Ford,6,6,50.00%,,,,,,
Mike Woodson,0,5,0.00%,,Matt Guokas,6,6,50.00%,,,,,,
Chris Gatling,0,5,0.00%,,Vincent Askew,6,6,50.00%,,,,,,
Anthony Bowie,6,5,54.55%,,Marreese Speights,6,6,50.00%,,,,,,
Larry Hughes,6,5,54.55%,,Charlie Share,6,6,50.00%,,,,,,
Satch Sanders,22,4,84.62%,,Drew Gooden,6,6,50.00%,,,,,,
Shaun Livingston,20,4,83.33%,,Calvin Murphy,6,6,50.00%,,,,,,
Mario Chalmers,14,4,77.78%,,Enes Kanter,6,6,50.00%,,,,,,
Chris Bosh,14,4,77.78%,,Matt Geiger,6,6,50.00%,,,,,,
