PLAYER,YEAR,AWARD,RNK
Wilt Chamberlain,1964,MVP,2
Bill Russell,1964,MVP,3
Bob Pettit,1964,MVP,4
Jerry West,1964,MVP,5
Elgin Baylor,1964,MVP,6
Gus Johnson,1964,MVP,6
Hal Greer,1964,MVP,6
Jerry Lucas,1964,MVP,9
Sam Jones,1964,MVP,9
Wayne Embry,1964,MVP,9
Bill Russell,1965,MVP,1
Oscar Robertson,1965,MVP,2
Jerry West,1965,MVP,3
Sam Jones,1965,MVP,4
Wilt Chamberlain,1965,MVP,5
Wilt Chamberlain,1966,MVP,1
Jerry West,1966,MVP,2
Oscar Robertson,1966,MVP,3
Bill Russell,1966,MVP,4
Jerry Lucas,1966,MVP,5
Sam Jones,1966,MVP,5
Wilt Chamberlain,1967,MVP,1
Nate Thurmond,1967,MVP,2
Bill Russell,1967,MVP,3
Oscar Robertson,1967,MVP,4
Rick Barry,1967,MVP,5
Wilt Chamberlain,1968,MVP,1
Lenny Wilkens,1968,MVP,2
Elgin Baylor,1968,MVP,3
Dave Bing,1968,MVP,4
Oscar Robertson,1968,MVP,5
Wes Unseld,1969,MVP,1
Willis Reed,1969,MVP,2
Billy Cunningham,1969,MVP,3
Bill Russell,1969,MVP,4
Elgin Baylor,1969,MVP,5
Willis Reed,1970,MVP,1
Jerry West,1970,MVP,2
Kareem Abdul-Jabbar,1970,MVP,3
Walt Frazier,1970,MVP,4
Billy Cunningham,1970,MVP,5
Connie Hawkins,1970,MVP,5
Lou Hudson,1970,MVP,7
Bill Bridges,1970,MVP,8
Wes Unseld,1970,MVP,8
John Havlicek,1970,MVP,10
Nate Thurmond,1970,MVP,11
Joe Caldwell,1970,MVP,12
Walt Bellamy,1970,MVP,12
Walt Hazzard,1970,MVP,12
Elgin Baylor,1970,MVP,15
Bob Love,1970,MVP,16
Earl Monroe,1970,MVP,16
Oscar Robertson,1970,MVP,16
Otto Moore,1970,MVP,16
Kareem Abdul-Jabbar,1971,MVP,1
Jerry West,1971,MVP,2
Dave Bing,1971,MVP,3
Willis Reed,1971,MVP,4
Oscar Robertson,1971,MVP,5
John Havlicek,1971,MVP,6
Bob Love,1971,MVP,7
Nate Thurmond,1971,MVP,8
Billy Cunningham,1971,MVP,9
Gus Johnson,1971,MVP,10
Kareem Abdul-Jabbar,1972,MVP,1
Jerry West,1972,MVP,2
Wilt Chamberlain,1972,MVP,3
John Havlicek,1972,MVP,4
Spencer Haywood,1972,MVP,5
Bob Love,1972,MVP,6
Dave Cowens,1972,MVP,7
Nate Thurmond,1972,MVP,8
Bob Lanier,1972,MVP,9
Dave DeBusschere,1972,MVP,10
Walt Frazier,1972,MVP,11
Archie Clark,1972,MVP,12
Jerry Lucas,1972,MVP,13
Paul Silas,1972,MVP,14
Oscar Robertson,1972,MVP,15
Tiny Archibald,1972,MVP,15
Cazzie Russell,1972,MVP,17
Connie Hawkins,1972,MVP,17
Elvin Hayes,1972,MVP,17
Sidney Wicks,1972,MVP,17
Billy Cunningham,1972,MVP,21
Gail Goodrich,1972,MVP,21
Jerry Sloan,1972,MVP,21
Pete Maravich,1972,MVP,21
Bill Bradley,1972,MVP,25
Fred Carter,1972,MVP,25
Walt Bellamy,1972,MVP,25
Dave Cowens,1973,MVP,1
Kareem Abdul-Jabbar,1973,MVP,2
Tiny Archibald,1973,MVP,3
Wilt Chamberlain,1973,MVP,4
John Havlicek,1973,MVP,5
Jerry West,1973,MVP,6
Spencer Haywood,1973,MVP,7
Walt Frazier,1973,MVP,7
Nate Thurmond,1973,MVP,9
Elvin Hayes,1973,MVP,10
Bob Love,1973,MVP,11
Dave DeBusschere,1973,MVP,11
Elmore Smith,1973,MVP,13
Bob Lanier,1973,MVP,14
Wes Unseld,1973,MVP,14
Lenny Wilkens,1973,MVP,16
Sidney Wicks,1973,MVP,16
Lou Hudson,1973,MVP,18
Dave Bing,1973,MVP,19
Lucius Allen,1973,MVP,19
Pete Maravich,1973,MVP,19
Rick Barry,1973,MVP,19
Kareem Abdul-Jabbar,1974,MVP,1
Bob McAdoo,1974,MVP,2
Bob Lanier,1974,MVP,3
Dave Cowens,1974,MVP,4
Elvin Hayes,1974,MVP,5
Walt Frazier,1974,MVP,6
Rick Barry,1974,MVP,7
Nate Thurmond,1974,MVP,8
John Havlicek,1974,MVP,9
Norm Van Lier,1974,MVP,9
Clifford Ray,1974,MVP,11
Dave Bing,1974,MVP,11
Dave DeBusschere,1974,MVP,11
Phil Chenier,1974,MVP,11
Bob Love,1974,MVP,15
Lucius Allen,1974,MVP,15
Clyde Lee,1974,MVP,17
Pete Maravich,1974,MVP,17
Rudy Tomjanovich,1974,MVP,17
Spencer Haywood,1974,MVP,17
Bob McAdoo,1975,MVP,1
Marvin Barnes,1975,MVP,1
Bobby Jones,1975,MVP,2
Dave Cowens,1975,MVP,2
Elvin Hayes,1975,MVP,3
Mack Calvin,1975,MVP,3
Moses Malone,1975,MVP,3
Bobby Jones,1975,MVP,4
Rick Barry,1975,MVP,4
Kareem Abdul-Jabbar,1975,MVP,5
Tiny Archibald,1975,MVP,6
John Havlicek,1975,MVP,7
Phil Chenier,1975,MVP,8
Wes Unseld,1975,MVP,9
Sam Lacey,1975,MVP,10
Norm Van Lier,1975,MVP,11
Sidney Wicks,1975,MVP,12
Bob Lanier,1975,MVP,13
Spencer Haywood,1975,MVP,13
Walt Frazier,1975,MVP,15
Chet Walker,1975,MVP,16
Earl Monroe,1975,MVP,16
Mike Bantom,1975,MVP,16
Bob Love,1975,MVP,19
Jim Chones,1975,MVP,20
Fred Brown,1975,MVP,21
Rudy Tomjanovich,1975,MVP,21
Kareem Abdul-Jabbar,1976,MVP,1
Bob McAdoo,1976,MVP,2
Dave Cowens,1976,MVP,3
Rick Barry,1976,MVP,4
George McGinnis,1976,MVP,5
Dave Bing,1976,MVP,6
Phil Smith,1976,MVP,7
Elvin Hayes,1976,MVP,8
Jim Chones,1976,MVP,9
Tiny Archibald,1976,MVP,9
Wes Unseld,1976,MVP,11
Earl Monroe,1976,MVP,12
Fred Brown,1976,MVP,13
Paul Silas,1976,MVP,14
Pete Maravich,1976,MVP,15
Clifford Ray,1976,MVP,16
Jamaal Wilkes,1976,MVP,17
Phil Chenier,1976,MVP,17
Walt Frazier,1976,MVP,17
Doug Collins,1976,MVP,20
Jo Jo White,1976,MVP,20
John Drew,1976,MVP,20
Steve Mix,1976,MVP,20
Bill Walton,1976,MVP,24
Bob Dandridge,1976,MVP,24
John Havlicek,1976,MVP,24
Norm Van Lier,1976,MVP,24
Paul Westphal,1976,MVP,24
Randy Smith,1976,MVP,24
Truck Robinson,1976,MVP,24
Kareem Abdul-Jabbar,1977,MVP,1
Bill Walton,1977,MVP,2
Pete Maravich,1977,MVP,3
Bob Lanier,1977,MVP,4
Julius Erving,1977,MVP,5
Moses Malone,1977,MVP,6
David Thompson,1977,MVP,7
Elvin Hayes,1977,MVP,7
Maurice Lucas,1977,MVP,9
Artis Gilmore,1977,MVP,10
George Gervin,1977,MVP,11
George McGinnis,1977,MVP,11
Jo Jo White,1977,MVP,11
Norm Van Lier,1977,MVP,11
Bill Walton,1978,MVP,1
George Gervin,1978,MVP,2
David Thompson,1978,MVP,3
Kareem Abdul-Jabbar,1978,MVP,4
Walter Davis,1978,MVP,5
Maurice Lucas,1978,MVP,6
Paul Westphal,1978,MVP,6
Artis Gilmore,1978,MVP,8
Truck Robinson,1978,MVP,8
Bob Lanier,1978,MVP,10
Bob McAdoo,1978,MVP,10
Julius Erving,1978,MVP,10
Marques Johnson,1978,MVP,10
Marvin Webster,1978,MVP,10
Moses Malone,1979,MVP,1
George Gervin,1979,MVP,2
Elvin Hayes,1979,MVP,3
Kareem Abdul-Jabbar,1979,MVP,4
Bob Dandridge,1979,MVP,5
World B. Free,1979,MVP,6
Jack Sikma,1979,MVP,7
David Thompson,1979,MVP,8
Phil Ford,1979,MVP,8
Walter Davis,1979,MVP,10
Kareem Abdul-Jabbar,1980,MVP,1
Julius Erving,1980,MVP,2
George Gervin,1980,MVP,3
Larry Bird,1980,MVP,4
Dan Roundfield,1980,MVP,5
Dennis Johnson,1980,MVP,5
Tiny Archibald,1980,MVP,5
Gus Williams,1980,MVP,8
Moses Malone,1980,MVP,9
Julius Erving,1981,MVP,1
Larry Bird,1981,MVP,2
Kareem Abdul-Jabbar,1981,MVP,3
Moses Malone,1981,MVP,4
George Gervin,1981,MVP,5
Marques Johnson,1981,MVP,6
Robert Parish,1981,MVP,7
Dennis Johnson,1981,MVP,8
Tiny Archibald,1981,MVP,9
Jamaal Wilkes,1981,MVP,10
Magic Johnson,1981,MVP,11
Adrian Dantley,1981,MVP,12
Phil Ford,1981,MVP,12
Bernard King,1981,MVP,14
Jack Sikma,1981,MVP,15
Kelvin Ransey,1981,MVP,15
Micheal Ray Richardson,1981,MVP,17
Otis Birdsong,1981,MVP,17
Reggie Theus,1981,MVP,19
Truck Robinson,1981,MVP,19
Norm Nixon,1981,MVP,21
Artis Gilmore,1981,MVP,22
Bob Lanier,1981,MVP,22
Bobby Jones,1981,MVP,24
George Johnson (1948),1981,MVP,24
James Silas,1981,MVP,24
Michael Cooper,1981,MVP,24
Mike Mitchell,1981,MVP,24
Walter Davis,1981,MVP,24
Caldwell Jones,1981,MVP,30
Quinn Buckner,1981,MVP,30
Moses Malone,1982,MVP,1
Larry Bird,1982,MVP,2
Julius Erving,1982,MVP,3
Robert Parish,1982,MVP,4
Gus Williams,1982,MVP,5
George Gervin,1982,MVP,6
Sidney Moncrief,1982,MVP,7
Magic Johnson,1982,MVP,8
Jack Sikma,1982,MVP,9
Kareem Abdul-Jabbar,1982,MVP,10
Dan Roundfield,1982,MVP,11
Kelly Tripucka,1982,MVP,11
Alex English,1982,MVP,13
Bernard King,1982,MVP,14
Adrian Dantley,1982,MVP,15
Ray Williams,1982,MVP,16
Dan Issel,1982,MVP,17
Isiah Thomas,1982,MVP,17
Marques Johnson,1982,MVP,17
Michael Cooper,1982,MVP,17
Buck Williams,1982,MVP,21
Dennis Johnson,1982,MVP,21
Jamaal Wilkes,1982,MVP,21
Jay Vincent,1982,MVP,21
Mychal Thompson,1982,MVP,21
Moses Malone,1983,MVP,1
Larry Bird,1983,MVP,2
Magic Johnson,1983,MVP,3
Sidney Moncrief,1983,MVP,4
Julius Erving,1983,MVP,5
Alex English,1983,MVP,6
Buck Williams,1983,MVP,7
Artis Gilmore,1983,MVP,8
George Gervin,1983,MVP,9
Kareem Abdul-Jabbar,1983,MVP,10
Jack Sikma,1983,MVP,11
Jeff Ruland,1983,MVP,12
Terry Cummings,1983,MVP,13
Maurice Lucas,1983,MVP,14
Alton Lister,1983,MVP,15
Bernard King,1983,MVP,16
Isiah Thomas,1983,MVP,16
Gus Williams,1983,MVP,18
Larry Drew,1983,MVP,18
Dan Roundfield,1983,MVP,20
Marques Johnson,1983,MVP,21
Kiki Vandeweghe,1983,MVP,22
Norm Nixon,1983,MVP,22
Larry Bird,1984,MVP,1
Ralph Sampson,1984,MVP,1
Bernard King,1984,MVP,2
Magic Johnson,1984,MVP,3
Kareem Abdul-Jabbar,1984,MVP,4
Isiah Thomas,1984,MVP,5
Julius Erving,1984,MVP,6
Adrian Dantley,1984,MVP,7
Sidney Moncrief,1984,MVP,8
Jeff Ruland,1984,MVP,9
Moses Malone,1984,MVP,10
Mark Aguirre,1984,MVP,11
Bill Laimbeer,1984,MVP,12
Rickey Green,1984,MVP,13
Marques Johnson,1984,MVP,14
World B. Free,1984,MVP,14
Larry Bird,1985,MVP,1
Magic Johnson,1985,MVP,2
Moses Malone,1985,MVP,3
Kareem Abdul-Jabbar,1985,MVP,4
Terry Cummings,1985,MVP,5
Michael Jordan,1985,MVP,6
Bernard King,1985,MVP,7
Sidney Moncrief,1985,MVP,8
Isiah Thomas,1985,MVP,9
Ralph Sampson,1985,MVP,10
Calvin Natt,1985,MVP,11
Alex English,1985,MVP,12
Hakeem Olajuwon,1985,MVP,12
Micheal Ray Richardson,1985,MVP,14
Andrew Toney,1985,MVP,15
Mark Eaton,1985,MVP,16
Dominique Wilkins,1985,MVP,17
Jack Sikma,1985,MVP,17
Paul Pressey,1985,MVP,17
Purvis Short,1985,MVP,20
World B. Free,1985,MVP,20
Clyde Drexler,1985,MVP,22
Julius Erving,1985,MVP,22
Larry Bird,1986,MVP,1
Dominique Wilkins,1986,MVP,2
Magic Johnson,1986,MVP,3
Hakeem Olajuwon,1986,MVP,4
Kareem Abdul-Jabbar,1986,MVP,5
Charles Barkley,1986,MVP,6
Sidney Moncrief,1986,MVP,7
Alex English,1986,MVP,8
Isiah Thomas,1986,MVP,9
Moses Malone,1986,MVP,10
Terry Cummings,1986,MVP,11
James Worthy,1986,MVP,12
Alvin Robertson,1986,MVP,13
Kevin McHale,1986,MVP,13
Paul Pressey,1986,MVP,13
Adrian Dantley,1986,MVP,16
Buck Williams,1986,MVP,16
Dennis Johnson,1986,MVP,18
Magic Johnson,1987,MVP,1
Michael Jordan,1987,MVP,2
Larry Bird,1987,MVP,3
Kevin McHale,1987,MVP,4
Dominique Wilkins,1987,MVP,5
Charles Barkley,1987,MVP,6
Hakeem Olajuwon,1987,MVP,7
Isiah Thomas,1987,MVP,8
Fat Lever,1987,MVP,9
Moses Malone,1987,MVP,10
Steve Johnson,1987,MVP,11
Karl Malone,1987,MVP,12
Robert Parish,1987,MVP,12
Alex English,1987,MVP,14
Joe Barry Carroll,1987,MVP,15
Mark Aguirre,1987,MVP,15
Rolando Blackman,1987,MVP,15
Michael Jordan,1988,MVP,1
Larry Bird,1988,MVP,2
Magic Johnson,1988,MVP,3
Charles Barkley,1988,MVP,4
Clyde Drexler,1988,MVP,5
Dominique Wilkins,1988,MVP,6
Hakeem Olajuwon,1988,MVP,7
Karl Malone,1988,MVP,8
Fat Lever,1988,MVP,9
John Stockton,1988,MVP,10
Alex English,1988,MVP,11
Isiah Thomas,1988,MVP,12
Mark Jackson,1988,MVP,13
Adrian Dantley,1988,MVP,14
Buck Williams,1988,MVP,14
Mark Aguirre,1988,MVP,14
Michael Adams,1988,MVP,14
Magic Johnson,1989,MVP,1
Michael Jordan,1989,MVP,2
Karl Malone,1989,MVP,3
Patrick Ewing,1989,MVP,4
Hakeem Olajuwon,1989,MVP,5
Charles Barkley,1989,MVP,6
John Stockton,1989,MVP,7
Kevin Johnson,1989,MVP,8
Tom Chambers,1989,MVP,9
Mark Price,1989,MVP,10
Brad Daugherty,1989,MVP,11
Robert Parish,1989,MVP,11
Chris Mullin,1989,MVP,13
Larry Nance,1989,MVP,13
Mark Eaton,1989,MVP,13
Moses Malone,1989,MVP,13
Isiah Thomas,1989,MVP,17
Joe Dumars,1989,MVP,17
Terry Cummings,1989,MVP,17
Magic Johnson,1990,MVP,1
Charles Barkley,1990,MVP,2
Michael Jordan,1990,MVP,3
Karl Malone,1990,MVP,4
Patrick Ewing,1990,MVP,5
David Robinson,1990,MVP,6
Hakeem Olajuwon,1990,MVP,7
Tom Chambers,1990,MVP,8
John Stockton,1990,MVP,9
Buck Williams,1990,MVP,10
Larry Bird,1990,MVP,10
Clyde Drexler,1990,MVP,12
Isiah Thomas,1990,MVP,13
Joe Dumars,1990,MVP,13
Michael Jordan,1991,MVP,1
Magic Johnson,1991,MVP,2
David Robinson,1991,MVP,3
Charles Barkley,1991,MVP,4
Karl Malone,1991,MVP,5
Clyde Drexler,1991,MVP,6
Kevin Johnson,1991,MVP,7
Dominique Wilkins,1991,MVP,8
Larry Bird,1991,MVP,9
Terry Porter,1991,MVP,9
Patrick Ewing,1991,MVP,11
John Stockton,1991,MVP,12
Isiah Thomas,1991,MVP,13
Robert Parish,1991,MVP,14
Joe Dumars,1991,MVP,15
Bernard King,1991,MVP,16
Kenny Smith,1991,MVP,17
Hakeem Olajuwon,1991,MVP,18
Kevin McHale,1991,MVP,19
Tim Hardaway,1991,MVP,19
Michael Jordan,1992,MVP,1
Clyde Drexler,1992,MVP,2
David Robinson,1992,MVP,3
Karl Malone,1992,MVP,4
Patrick Ewing,1992,MVP,5
Chris Mullin,1992,MVP,6
Mark Price,1992,MVP,7
Tim Hardaway,1992,MVP,8
Scottie Pippen,1992,MVP,9
Dennis Rodman,1992,MVP,10
Brad Daugherty,1992,MVP,11
Charles Barkley,1992,MVP,12
John Stockton,1992,MVP,12
Larry Bird,1992,MVP,14
Kevin Johnson,1992,MVP,15
Danny Manning,1992,MVP,16
Detlef Schrempf,1992,MVP,16
Charles Barkley,1993,MVP,1
Hakeem Olajuwon,1993,MVP,2
Michael Jordan,1993,MVP,3
Patrick Ewing,1993,MVP,4
Dominique Wilkins,1993,MVP,5
David Robinson,1993,MVP,6
Shaquille O'Neal,1993,MVP,7
Karl Malone,1993,MVP,8
Mark Price,1993,MVP,8
Brad Daugherty,1993,MVP,10
Clyde Drexler,1993,MVP,10
Joe Dumars,1993,MVP,10
John Stockton,1993,MVP,10
Shawn Kemp,1993,MVP,10
Hakeem Olajuwon,1994,MVP,1
David Robinson,1994,MVP,2
Scottie Pippen,1994,MVP,3
Shaquille O'Neal,1994,MVP,4
Patrick Ewing,1994,MVP,5
Gary Payton,1994,MVP,6
Karl Malone,1994,MVP,7
Shawn Kemp,1994,MVP,7
Mark Price,1994,MVP,9
Charles Barkley,1994,MVP,10
Dennis Rodman,1994,MVP,11
Dominique Wilkins,1994,MVP,11
John Stockton,1994,MVP,11
Kevin Johnson,1994,MVP,11
Kevin Willis,1994,MVP,11
Latrell Sprewell,1994,MVP,11
Mookie Blaylock,1994,MVP,11
David Robinson,1995,MVP,1
Shaquille O'Neal,1995,MVP,2
Karl Malone,1995,MVP,3
Patrick Ewing,1995,MVP,4
Hakeem Olajuwon,1995,MVP,5
Charles Barkley,1995,MVP,6
Scottie Pippen,1995,MVP,7
John Stockton,1995,MVP,8
Gary Payton,1995,MVP,9
Anfernee Hardaway,1995,MVP,10
Michael Jordan,1995,MVP,11
Dennis Rodman,1995,MVP,12
Jason Kidd,1995,MVP,13
Clyde Drexler,1995,MVP,14
Cedric Ceballos,1995,MVP,15
Michael Jordan,1996,MVP,1
David Robinson,1996,MVP,2
Anfernee Hardaway,1996,MVP,3
Hakeem Olajuwon,1996,MVP,4
Scottie Pippen,1996,MVP,5
Gary Payton,1996,MVP,6
Karl Malone,1996,MVP,7
Shawn Kemp,1996,MVP,8
Grant Hill,1996,MVP,9
Shaquille O'Neal,1996,MVP,9
John Stockton,1996,MVP,11
Charles Barkley,1996,MVP,12
Magic Johnson,1996,MVP,12
Alonzo Mourning,1996,MVP,14
Dennis Rodman,1996,MVP,15
Mitch Richmond,1996,MVP,16
Terrell Brandon,1996,MVP,16
Karl Malone,1997,MVP,1
Michael Jordan,1997,MVP,2
Grant Hill,1997,MVP,3
Tim Hardaway,1997,MVP,4
Glen Rice,1997,MVP,5
Gary Payton,1997,MVP,6
Hakeem Olajuwon,1997,MVP,7
Patrick Ewing,1997,MVP,8
Anthony Mason,1997,MVP,9
Shaquille O'Neal,1997,MVP,9
Scottie Pippen,1997,MVP,11
Alonzo Mourning,1997,MVP,12
Dikembe Mutombo,1997,MVP,13
Mitch Richmond,1997,MVP,13
John Stockton,1997,MVP,15
Charles Barkley,1997,MVP,16
Allen Iverson,1997,MVP,17
Kevin Johnson,1997,MVP,17
Steve Smith,1997,MVP,17
Tom Gugliotta,1997,MVP,17
Michael Jordan,1998,MVP,1
Karl Malone,1998,MVP,2
Gary Payton,1998,MVP,3
Shaquille O'Neal,1998,MVP,4
Tim Duncan,1998,MVP,5
Tim Hardaway,1998,MVP,6
David Robinson,1998,MVP,7
Vin Baker,1998,MVP,8
Grant Hill,1998,MVP,9
Scottie Pippen,1998,MVP,10
Glen Rice,1998,MVP,11
Antoine Walker,1998,MVP,12
Jason Kidd,1998,MVP,13
John Stockton,1998,MVP,13
Mitch Richmond,1998,MVP,15
Reggie Miller,1998,MVP,16
Rik Smits,1998,MVP,16
Michael Finley,1998,MVP,18
Rod Strickland,1998,MVP,18
Karl Malone,1999,MVP,1
Alonzo Mourning,1999,MVP,2
Tim Duncan,1999,MVP,3
Allen Iverson,1999,MVP,4
Jason Kidd,1999,MVP,5
Shaquille O'Neal,1999,MVP,6
Chris Webber,1999,MVP,7
Grant Hill,1999,MVP,8
Gary Payton,1999,MVP,9
Kevin Garnett,1999,MVP,10
Shawn Kemp,1999,MVP,11
David Robinson,1999,MVP,12
Arvydas Sabonis,1999,MVP,13
Hakeem Olajuwon,1999,MVP,13
Darrell Armstrong,1999,MVP,15
Anfernee Hardaway,1999,MVP,16
Glenn Robinson,1999,MVP,16
Mark Jackson,1999,MVP,16
Rasheed Wallace,1999,MVP,16
Steve Smith,1999,MVP,16
Vince Carter,1999,MVP,16
Allen Iverson,2001,MVP,1
Tim Duncan,2001,MVP,2
Shaquille O'Neal,2001,MVP,3
Chris Webber,2001,MVP,4
Kevin Garnett,2001,MVP,5
Tracy McGrady,2001,MVP,6
Karl Malone,2001,MVP,7
Jason Kidd,2001,MVP,8
Kobe Bryant,2001,MVP,9
David Robinson,2001,MVP,10
Ray Allen,2001,MVP,11
Vince Carter,2001,MVP,11
Paul Pierce,2001,MVP,13
Jerry Stackhouse,2001,MVP,14
Anthony Mason,2001,MVP,15
John Stockton,2001,MVP,15
Michael Finley,2001,MVP,15
Tim Duncan,2002,MVP,1
Jason Kidd,2002,MVP,2
Shaquille O'Neal,2002,MVP,3
Tracy McGrady,2002,MVP,4
Kobe Bryant,2002,MVP,5
Gary Payton,2002,MVP,6
Chris Webber,2002,MVP,7
Dirk Nowitzki,2002,MVP,8
Allen Iverson,2002,MVP,9
Ben Wallace,2002,MVP,10
Paul Pierce,2002,MVP,11
Kevin Garnett,2002,MVP,12
Michael Jordan,2002,MVP,13
Steve Nash,2002,MVP,14
Jerry Stackhouse,2002,MVP,15
Elton Brand,2002,MVP,16
Mike Bibby,2002,MVP,16
Predrag Stojakovic,2002,MVP,16
Tim Duncan,2003,MVP,1
Kevin Garnett,2003,MVP,2
Kobe Bryant,2003,MVP,3
Tracy McGrady,2003,MVP,4
Shaquille O'Neal,2003,MVP,5
Allen Iverson,2003,MVP,6
Dirk Nowitzki,2003,MVP,7
Ben Wallace,2003,MVP,8
Jason Kidd,2003,MVP,9
Chris Webber,2003,MVP,10
Jamal Mashburn,2003,MVP,11
Paul Pierce,2003,MVP,11
Steve Nash,2003,MVP,11
Kevin Garnett,2004,MVP,1
Tim Duncan,2004,MVP,2
Jermaine O'Neal,2004,MVP,3
Predrag Stojakovic,2004,MVP,4
Kobe Bryant,2004,MVP,5
Shaquille O'Neal,2004,MVP,6
Ben Wallace,2004,MVP,7
Jason Kidd,2004,MVP,8
LeBron James,2004,MVP,9
Baron Davis,2004,MVP,10
Dirk Nowitzki,2004,MVP,10
Sam Cassell,2004,MVP,10
Andrei Kirilenko,2004,MVP,13
Carmelo Anthony,2004,MVP,14
Michael Redd,2004,MVP,14
Yao Ming,2004,MVP,14
Steve Nash,2005,MVP,1
Shaquille O'Neal,2005,MVP,2
Dirk Nowitzki,2005,MVP,3
Tim Duncan,2005,MVP,4
Allen Iverson,2005,MVP,5
LeBron James,2005,MVP,6
Tracy McGrady,2005,MVP,7
Dwyane Wade,2005,MVP,8
Amare Stoudemire,2005,MVP,9
Ray Allen,2005,MVP,9
Kevin Garnett,2005,MVP,11
Gilbert Arenas,2005,MVP,12
Vince Carter,2005,MVP,13
Marcus Camby,2005,MVP,14
PJ Brown,2005,MVP,14
Shawn Marion,2005,MVP,14
Steve Nash,2006,MVP,1
LeBron James,2006,MVP,2
Dirk Nowitzki,2006,MVP,3
Kobe Bryant,2006,MVP,4
Chauncey Billups,2006,MVP,5
Dwyane Wade,2006,MVP,6
Elton Brand,2006,MVP,7
Tim Duncan,2006,MVP,8
Tony Parker,2006,MVP,9
Allen Iverson,2006,MVP,10
Shawn Marion,2006,MVP,10
Dirk Nowitzki,2007,MVP,1
Steve Nash,2007,MVP,2
Kobe Bryant,2007,MVP,3
Tim Duncan,2007,MVP,4
LeBron James,2007,MVP,5
Tracy McGrady,2007,MVP,6
Chris Bosh,2007,MVP,7
Gilbert Arenas,2007,MVP,8
Carlos Boozer,2007,MVP,9
Kevin Garnett,2007,MVP,9
Chauncey Billups,2007,MVP,11
Dwyane Wade,2007,MVP,12
Shaquille O'Neal,2007,MVP,12
Amare Stoudemire,2007,MVP,14
Baron Davis,2007,MVP,15
Carmelo Anthony,2007,MVP,15
Tony Parker,2007,MVP,15
Kobe Bryant,2008,MVP,1
Chris Paul,2008,MVP,2
Kevin Garnett,2008,MVP,3
LeBron James,2008,MVP,4
Dwight Howard,2008,MVP,5
Amare Stoudemire,2008,MVP,6
Tim Duncan,2008,MVP,7
Tracy McGrady,2008,MVP,8
Steve Nash,2008,MVP,9
Manu Ginobili,2008,MVP,10
Dirk Nowitzki,2008,MVP,11
Deron Williams,2008,MVP,12
Carmelo Anthony,2008,MVP,13
Antawn Jamison,2008,MVP,14
Carlos Boozer,2008,MVP,14
Paul Pierce,2008,MVP,14
Rasheed Wallace,2008,MVP,14
LeBron James,2009,MVP,1
Kobe Bryant,2009,MVP,2
Dwyane Wade,2009,MVP,3
Dwight Howard,2009,MVP,4
Chris Paul,2009,MVP,5
Chauncey Billups,2009,MVP,6
Paul Pierce,2009,MVP,7
Tony Parker,2009,MVP,8
Brandon Roy,2009,MVP,9
Dirk Nowitzki,2009,MVP,10
Tim Duncan,2009,MVP,11
Yao Ming,2009,MVP,12
LeBron James,2010,MVP,1
Kevin Durant,2010,MVP,2
Kobe Bryant,2010,MVP,3
Dwight Howard,2010,MVP,4
Dwyane Wade,2010,MVP,5
Carmelo Anthony,2010,MVP,6
Dirk Nowitzki,2010,MVP,7
Steve Nash,2010,MVP,8
Deron Williams,2010,MVP,9
Amare Stoudemire,2010,MVP,10
Manu Ginobili,2010,MVP,11
Chauncey Billups,2010,MVP,12
Chris Bosh,2010,MVP,12
Joe Johnson,2010,MVP,12
Stephen Jackson,2010,MVP,12
Derrick Rose,2011,MVP,1
Dwight Howard,2011,MVP,2
LeBron James,2011,MVP,3
Kobe Bryant,2011,MVP,4
Kevin Durant,2011,MVP,5
Dirk Nowitzki,2011,MVP,6
Dwyane Wade,2011,MVP,7
Manu Ginobili,2011,MVP,8
Amare Stoudemire,2011,MVP,9
Blake Griffin,2011,MVP,10
Rajon Rondo,2011,MVP,10
Tony Parker,2011,MVP,12
Chris Paul,2011,MVP,13
LeBron James,2012,MVP,1
Kevin Durant,2012,MVP,2
Chris Paul,2012,MVP,3
Kobe Bryant,2012,MVP,4
Tony Parker,2012,MVP,5
Kevin Love,2012,MVP,6
Dwight Howard,2012,MVP,7
Rajon Rondo,2012,MVP,8
Steve Nash,2012,MVP,9
Dwyane Wade,2012,MVP,10
Derrick Rose,2012,MVP,11
Dirk Nowitzki,2012,MVP,12
Russell Westbrook,2012,MVP,12
Tim Duncan,2012,MVP,14
Joe Johnson,2012,MVP,15
LeBron James,2013,MVP,1
Kevin Durant,2013,MVP,2
Carmelo Anthony,2013,MVP,3
Chris Paul,2013,MVP,4
Kobe Bryant,2013,MVP,5
Tony Parker,2013,MVP,6
Tim Duncan,2013,MVP,7
James Harden,2013,MVP,8
Russell Westbrook,2013,MVP,9
Dwyane Wade,2013,MVP,10
Stephen Curry,2013,MVP,11
David Lee,2013,MVP,12
Joakim Noah,2013,MVP,12
Kevin Garnett,2013,MVP,12
Marc Gasol,2013,MVP,12
Ty Lawson,2013,MVP,12
Kevin Durant,2014,MVP,1
LeBron James,2014,MVP,2
Blake Griffin,2014,MVP,3
Joakim Noah,2014,MVP,4
James Harden,2014,MVP,5
Stephen Curry,2014,MVP,6
Chris Paul,2014,MVP,7
Al Jefferson,2014,MVP,8
Paul George,2014,MVP,9
