,,YEAR,PLAYER,NB CODE,POS,BODY FAT %,HAND SIZE,WEIGHT (LBS),HEIGHT,STANDING,WINGSPAN,HEIGHT W/O SHOES,WINGSPAN,STANDING REACH,LANE AGILITY,SHUTTLE RUN,3/4 SPRINT,STANDING VERT,MAX VERT,MAX BENCH
4,2015,2011,Darius Morris,Darius Morris,PGSG,5.30%,87.5,190,75.25,102,79.5,6' 3.25'',6' 7.5'',8' 6'',11,,3.2,24.5,32,12
-2011,,2011,David Lighty,David Lighty,SG,6.50%,90,216.2,76.75,101,80,6' 4.75'',6' 8'',8' 5'',10.81,,3.25,28.5,33,15
7,2018,2011,DeAndre Liggins,DeAndre Liggins,SFSG,5.00%,87.5,202.2,77,103.5,83,6' 5'',6' 11'',8' 7.5'',,,3.33,27,31,6
-2011,,2011,Demetri McCamey,Demetri McCamey,PG,6.10%,76.5,204,73.75,99.5,78.25,6' 1.75'',6' 6.25'',8' 3.5'',11.55,,3.19,27,33,
7,2018,2011,Derrick Williams,Derrick Williams,PFSF,10.80%,87.75,248.4,79.25,108,85.5,6' 7.25'',7' 1.5'',9' 0'',11.03,,3.23,29,34.5,19
10,2021,2011,E'Twaun Moore,E'Twaun Moore,SG,7.60%,90,191.4,74.5,99.5,81.5,6' 2.5'',6' 9.5'',8' 3.5'',11.12,,3.31,32,34.5,
11,2022,2011,Enes Kanter,Enes Kanter,PFC,5.90%,102.125,259.2,81.75,109.5,85.5,6' 9.75'',7' 1.5'',9' 1.5'',11.3,,3.26,26,32.5,14
5,2016,2011,Greg Smith (1991),Gregory Smith,PFC,7.40%,117,252.8,80,106.5,86.5,6' 8'',7' 2.5'',8' 10.5'',12.43,,3.36,29.5,36,17
10,2021,2011,Iman Shumpert,Iman Shumpert,PGSG,6.50%,81,221.8,76.25,99.5,81.5,6' 4.25'',6' 9.5'',8' 3.5'',11.1,,3.18,36.5,42,18
13,2024,2011,Isaiah Thomas,Isaiah Thomas,PG,6.70%,74.25,186,68.75,91.5,73.75,5' 8.75'',6' 1.75'',7' 7.5'',10.49,,3.14,31.5,40,13
1,2012,2011,JaJuan Johnson,JaJuan Johnson,PF,7.50%,90,219.8,81,107.5,86,6' 9'',7' 2'',8' 11.5'',11.21,,3.14,33.5,38,15
-2011,,2011,Jamie Skeen,Jamie Skeen,PF,9.80%,72.25,241.6,78.5,106.5,85.25,6' 6.5'',7' 1.25'',8' 10.5'',12.43,,3.46,26,30.5,10
-2011,,2011,Jereme Richmond,Jereme Richmond,SF,5.50%,83.125,207.2,78,106.5,82.25,6' 6'',6' 10.25'',8' 10.5'',11.74,,3.02,27,33.5,0
3,2014,2011,Jeremy Tyler,Jeremy Tyler,PFC,13.40%,83.25,262.4,81,110.5,89,6' 9'',7' 5'',9' 2.5'',11.26,,3.29,28,33.5,10
8,2019,2011,Jimmer Fredette,James Fredette,PG,7.70%,68,196,72.75,96.5,76.5,6' 0.75'',6' 4.5'',8' 0.5'',10.42,,3.21,28,33,14
14,2025,2011,Jimmy Butler,Jimmy Butler,SF,5.40%,81,222.2,78,101.5,79.5,6' 6'',6' 7.5'',8' 5.5'',11.12,,3.15,32,39,14
-2011,,2011,Jon Diebler,Jon Diebler,SG,8.50%,68.0625,196.6,77.25,99,78,6' 5.25'',6' 6'',8' 3'',10.94,,3.37,28,35,2
8,2019,2011,Jon Leuer,Jon Leuer,PF,5.40%,85.3125,223.2,82,105.5,84,6' 10'',7' 0'',8' 9.5'',10.82,,3.36,29.5,36.5,14
5,2016,2011,Jordan Hamilton,Jordan Hamilton,SF,9.80%,83.25,228.4,78.75,104,81.5,6' 6.75'',6' 9.5'',8' 8'',11.47,,3.3,25,32,7
2,2013,2011,Josh Selby,Josh Selby,SGPG,7.90%,76.5,194.6,73.75,98,77.25,6' 1.75'',6' 5.25'',8' 2'',11.13,,3.2,29.5,42,5
6,2017,2011,Justin Harper,Justin Harper,PFSF,4.00%,83.25,228,80,106,83.75,6' 8'',6' 11.75'',8' 10'',11.92,,3.3,28.5,33,19
14,2025,2011,Kawhi Leonard,Kawhi Leonard,SF,5.40%,109.6875,227.4,78,106,87,6' 6'',7' 3'',8' 10'',11.45,,3.15,25.5,32,3
1,2012,2011,Keith Benson,Keith Benson,CPF,6.10%,104.5,217,82,109.5,87.75,6' 10'',7' 3.75'',9' 1.5'',11.88,,3.35,31.5,36,12
12,2023,2011,Kemba Walker,Kemba Walker,PG,5.90%,72,184,71.5,91.5,75.5,5' 11.5'',6' 3.5'',7' 7.5'',10.87,,3.16,32,39.5,7
8,2019,2011,Kenneth Faried,Kenneth Faried,PF,6.30%,87.125,224.6,78,108,84,6' 6'',7' 0'',9' 0'',11.35,,3.26,30.5,35,16
14,2025,2011,Klay Thompson,Klay Thompson,SG,8.00%,80.9375,205.6,77.75,103.5,81,6' 5.75'',6' 9'',8' 7.5'',10.99,,3.24,26.5,31.5,5
7,2018,2011,Kyle Singler,Kyle Singler,SF,10.00%,72.1875,228,79.5,106,82.1,6' 7.5'',6' 10.1'',8' 10'',11.22,,3.21,23,30,10
14,2025,2011,Kyrie Irving,Kyrie Irving,PG,10.20%,76.3125,191,73.75,99,76,6' 1.75'',6' 4'',8' 3'',,,,,,
-2011,,2011,LaceDarius Dunn,LaceDarius Dunn,SG,5.50%,92.25,187.8,75,101,78.25,6' 3'',6' 6.25'',8' 5'',11.45,,3.27,26.5,31,3
4,2015,2011,Malcolm Lee,Malcolm Lee,SG,5.90%,80.75,198.2,76,101.5,81.75,6' 4'',6' 9.75'',8' 5.5'',11.2,,3.09,30,35.5,17
4,2015,2011,Malcolm Thomas,Malcolm Thomas,PF,5.90%,99.75,223,79.5,107.5,84.5,6' 7.5'',7' 0.5'',8' 11.5'',11.31,,3.29,32,36.5,3
13,2024,2011,Marcus Morris,Marcus Morris,PFSF,8.00%,70.125,229.6,79,105.5,82,6' 7'',6' 10'',8' 9.5'',,,3.15,29,33,11
14,2025,2011,Markieff Morris,Markieff Morris,PF,10.20%,70.125,240.8,79.75,106.5,82.75,6' 7.75'',6' 10.75'',8' 10.5'',,,3.4,27,31.5,11
8,2019,2011,Marshon Brooks,Marshon Brooks,SG,5.20%,94.5,194.6,76.25,101,85,6' 4.25'',7' 1'',8' 5'',10.74,,3.09,34,38.5,5
-2011,,2011,Michael Dunigan,Michael Dunigan,PFC,8.00%,96.75,237.6,80.5,107.5,87.25,6' 8.5'',7' 3.25'',8' 11.5'',11.85,,3.27,29.5,34.5,10
14,2025,2011,Nikola Vucevic,Nikola Vucevic,PFC,6.10%,94.8125,259.8,82.25,112.5,88.5,6' 10.25'',7' 4.5'',9' 4.5'',12.02,,3.27,23.5,25,8
2,2013,2011,Nolan Smith,Nolan Smith,PG,5.60%,78.625,187.6,73.5,99,77.5,6' 1.5'',6' 5.5'',8' 3'',11.05,,3.17,28.5,34,9
6,2017,2011,Norris Cole,Norris Cole,PG,4.70%,80.75,174.4,72.25,95.5,74.25,6' 0.25'',6' 2.25'',7' 11.5'',10.07,,3.22,29.5,38.5,11
-2011,,2011,Rick Jackson,Rick Jackson,PF,8.30%,83.125,241.8,80.25,106.5,86,6' 8.25'',7' 2'',8' 10.5'',11.51,,3.26,28.5,33,9
11,2022,2011,Scotty Hopson,Scotty Hopson,SG,4.80%,85,204.6,77.75,103.5,82.5,6' 5.75'',6' 10.5'',8' 7.5'',10.47,,3.18,32.5,36,10
8,2019,2011,Shelvin Mack,Shelvin Mack,PG,7.10%,76.3125,209,73,96.5,79.5,6' 1'',6' 7.5'',8' 0.5'',11.23,,3.18,32,39,17
14,2025,2011,Tobias Harris,Tobias Harris,SFPF,8.40%,78.75,222.8,78.5,103.5,83,6' 6.5'',6' 11'',8' 7.5'',10.96,,3.17,31.5,37.5,12
1,2012,2011,Travis Leslie,Travis Leslie,SG,8.10%,80.9375,205,75,103,82.5,6' 3'',6' 10.5'',8' 7'',11,,3.13,33,40.5,10
1,2012,2011,Trey Thompkins,Trey Thompkins,PF,15.50%,90.1875,239,80.5,107.5,85,6' 8.5'',7' 1'',8' 11.5'',11.72,,3.41,27.5,30.5,15
14,2025,2011,Tristan Thompson,Tristan Thompson,PF,6.20%,80.9375,227.4,79.5,108.5,85.25,6' 7.5'',7' 1.25'',9' 0.5'',10.92,,3.26,30,35,9
2,2013,2011,Tyler Honeycutt,Tyler Honeycutt,SF,5.30%,80.75,186.8,78.75,105,81,6' 6.75'',6' 9'',8' 9'',11.68,,3.07,30,37,
9,2020,2011,Tyler Zeller,Tyler Zeller,PFC,6.40%,87.75,247.4,83.25,104.5,84,6' 11.25'',7' 0'',8' 8.5'',11.13,,3.4,30,34,16
11,2021,2010,Al-Farouq Aminu,AlFarouq Aminu,SF,8.20%,90.25,216,79.25,108.5,87.25,6' 7.25'',7' 3.25'',9' 0.5'',11.29,,3.3,27,33.5,13
1,2011,2010,Andy Rautins,Andy Rautins,SG,6.20%,78,191.6,76.25,100,79,6' 4.25'',6' 7'',8' 4'',11.27,,3.49,23.5,30.5,8
2,2012,2010,Armon Johnson,Armon Johnson,PGSG,5.60%,76.3125,195.2,74,99.5,80,6' 2'',6' 8'',8' 3.5'',11.25,,3.19,31.5,38.5,18
-2010,,2010,Artsiom Parakhouski,Artsiom Parakhouski,C,6.00%,94.5,268.2,82.25,109.5,85,6' 10.25'',7' 1'',9' 1.5'',12.07,,3.33,25.5,26.5,16
12,2022,2010,Avery Bradley,Avery Bradley,SGPG,4.00%,78.375,180.4,74,98.5,79.25,6' 2'',6' 7.25'',8' 2.5'',11.47,,3.14,31.5,37.5,2
-2010,,2010,Charles Garcia,Charles Garcia,SF,7.00%,78.75,231.6,80.25,107.5,85.75,6' 8.25'',7' 1.75'',8' 11.5'',11.65,,3.23,24.5,30.5,2
8,2018,2010,Cole Aldrich,Cole Aldrich,C,8.50%,83.25,236,81,111.5,88.75,6' 9'',7' 4.75'',9' 3.5'',11.48,,3.35,23,28,10
2,2012,2010,Craig Brackins,Craig Brackins,PFSF,7.90%,106.875,229,80.5,109,84,6' 8.5'',7' 0'',9' 1'',11.65,,3.39,26,35,6
4,2014,2010,Damion James,Damion James,SF,9.60%,78.625,226.6,78.25,107,84.75,6' 6.25'',7' 0.75'',8' 11'',10.89,,3.2,29,33,13
4,2014,2010,Daniel Orton,Daniel Orton,C,13.80%,82.875,269.2,80.75,110.5,88.25,6' 8.75'',7' 4.25'',9' 2.5'',12.32,,3.39,24,30.5,13
2,2012,2010,Darington Hobson,Darington Hobson,SGSF,6.20%,74.25,203.6,77.25,104.5,81.25,6' 5.25'',6' 9.25'',8' 8.5'',11.68,,3.25,29,34,
12,2022,2010,DeMarcus Cousins,DeMarcus Cousins,C,16.40%,92.5,291.8,81.5,113,89.75,6' 9.5'',7' 5.75'',9' 5'',11.4,,3.55,23.5,27.5,
1,2011,2010,Derrick Caracter,Derrick Caracter,PF,12.80%,92.25,280,80.25,107.5,84.25,6' 8.25'',7' 0.25'',8' 11.5'',12.78,,3.61,25,30.5,22
12,2022,2010,Derrick Favors,Derrick Favors,PF,6.50%,80.9375,245.2,80.75,110,88,6' 8.75'',7' 4'',9' 2'',11.74,,3.25,31.5,35.5,14
3,2013,2010,Devin Ebanks,Devin Ebanks,SF,7.90%,74.25,207.8,79,107.5,84.25,6' 7'',7' 0.25'',8' 11.5'',11.69,,3.44,23.5,32,6
4,2014,2010,Dexter Pittman,Dexter Pittman,PFC,20.80%,107.625,302.6,81.5,111,90,6' 9.5'',7' 6'',9' 3'',,,,,,
3,2013,2010,Dominique Jones,Dominique Jones,SG,5.90%,92.25,216,75.25,101,81.25,6' 3.25'',6' 9.25'',8' 5'',10.88,,3.31,26,32.5,19
12,2022,2010,Ed Davis,Ed Davis,PF,10.00%,92.5,226.6,81,108,84,6' 9'',7' 0'',9' 0'',11.7,,3.21,31,36,
9,2019,2010,Ekpe Udoh,Ekpe Udoh,PF,8.00%,83.125,237.4,80.75,106.5,88.5,6' 8.75'',7' 4.5'',8' 10.5'',11.15,,3.29,31,33.5,10
12,2022,2010,Eric Bledsoe,Eric Bledsoe,PG,5.60%,82.875,191.6,72.25,98,79.5,6' 0.25'',6' 7.5'',8' 2'',,,,,,9
10,2020,2010,Evan Turner,Evan Turner,SG,8.60%,83.125,213.8,77.75,103.5,80,6' 5.75'',6' 8'',8' 7.5'',11.06,,3.27,27.5,34.5,9
1,2011,2010,Gani Lawal,Gani Lawal,PF,6.30%,85,233.4,79.5,107.5,84,6' 7.5'',7' 0'',8' 11.5'',11.61,,3.24,27,31.5,20
14,2024,2010,Gordon Hayward,Gordon Hayward,SF,6.90%,78.625,211,78.75,103,79.75,6' 6.75'',6' 7.75'',8' 7'',11.73,,3.22,30.5,34.5,10
12,2022,2010,Greg Monroe,Greg Monroe,PFC,11.20%,83.125,246.6,81.75,108.5,86.25,6' 9.75'',7' 2.25'',9' 0.5'',12.1,,3.35,25,29,15
7,2017,2010,Greivis Vasquez,Greivis Vasquez,PGSG,8.60%,71.6875,210.8,77,101,79,6' 5'',6' 7'',8' 5'',,,,,,
6,2016,2010,James Anderson,James Anderson,SF,7.90%,61.625,207.6,76.75,104,80.5,6' 4.75'',6' 8.5'',8' 8'',11.86,,3.19,30,35.5,14
4,2014,2010,Jarvis Varnado,Jarvis Varnado,PFC,9.50%,87.875,210.2,80.25,109.5,87.5,6' 8.25'',7' 3.5'',9' 1.5'',11.61,,3.37,29.5,32.5,3
5,2015,2010,Jerome Jordan,Jerome Jordan,C,6.90%,92.25,244.2,83.5,113,89.25,6' 11.5'',7' 5.25'',9' 5'',,,,,,
13,2023,2010,John Wall,John Wall,PG,5.60%,78.375,195.6,74.75,101.5,81.25,6' 2.75'',6' 9.25'',8' 5.5'',10.84,,3.14,30,39,
-2010,,2010,Jon Scheyer,Jon Scheyer,PGSG,5.40%,73.625,180,76.75,99,75.25,6' 4.75'',6' 3.25'',8' 3'',,,,,,
8,2018,2010,Jordan Crawford,Jordan Crawford,SG,4.90%,72,198.4,75,101,79,6' 3'',6' 7'',8' 5'',11.03,,3.37,31.5,34.5,7
2,2012,2010,Jordan Williams,Jordan Williams,PF,12.10%,92.5,247.2,79.75,106.5,84.25,6' 7.75'',7' 0.25'',8' 10.5'',12.74,,3.45,25,30.5,10
-2010,,2010,Keith Gallon,Keith Gallon,PFC,15.10%,97.125,301.8,80.5,109.5,88.5,6' 8.5'',7' 4.5'',9' 1.5'',13.44,,3.7,23.5,28.5,14
12,2022,2010,Lance Stephenson,Lance Stephenson,SG,9.30%,92.25,227,76.5,103,82.5,6' 4.5'',6' 10.5'',8' 7'',11.39,,3.38,27,33,10
7,2017,2010,Larry Sanders,Larry Sanders,PFC,4.60%,107.25,222.4,81.25,112,89.75,6' 9.25'',7' 5.75'',9' 4'',12.49,,3.27,25.5,28,7
3,2013,2010,Lazar Hayward,Lazar Hayward,SGSF,7.50%,87.875,225.8,76.5,102,84.75,6' 4.5'',7' 0.75'',8' 6'',10.87,,3.31,31,36,15
8,2018,2010,Luke Babbitt,Luke Babbitt,SFPF,5.60%,85,217.8,79.5,104.5,83.25,6' 7.5'',6' 11.25'',8' 8.5'',10.98,,3.4,29.5,37.5,15
2,2012,2010,Luke Harangody,Luke Harangody,PF,11.10%,85.3125,240.2,78,106,81.5,6' 6'',6' 9.5'',8' 10'',11.83,,3.41,24,28.5,23
7,2017,2010,Manny Harris,Manny Harris,SG,3.80%,76.5,185.1,76,102,79.25,6' 4'',6' 7.25'',8' 6'',,,,,,11
-2010,,2010,Mikhail Torrance,Mikhail Torrance,PG,7.00%,83.125,208.8,76,103,79.5,6' 4'',6' 7.5'',8' 7'',11.43,,3.17,23,32,8
11,2021,2010,Patrick Patterson,Patrick Patterson,PF,5.30%,94.8125,239.6,80,107,85.25,6' 8'',7' 1.25'',8' 11'',11.14,,3.25,28.5,33.5,17
15,2025,2010,Paul George,Paul George,SF,5.00%,76.5,214.4,79.75,107,83.25,6' 7.75'',6' 11.25'',8' 11'',,,,,,4
-2010,,2010,Ryan Richards,Ryan Richards,PF,8.00%,87.75,230.2,82.5,110,85.5,6' 10.5'',7' 1.5'',9' 2'',11.33,,3.37,25,28.5,4
1,2011,2010,Sherron Collins,Sherron Collins,PG,9.20%,80.75,217.2,70.25,94,74.5,5' 10.25'',6' 2.5'',7' 10'',12.31,,3.24,27.5,33,
2,2012,2010,Solomon Alabi,Solomon Alabi,C,5.00%,85.5625,237.4,83.5,113,89,6' 11.5'',7' 5'',9' 5'',13.2,,3.68,22.5,26,10
-2010,,2010,Stanley Robinson,Stanley Robinson,SF,8.30%,81,213.2,78.5,107.5,84,6' 6.5'',7' 0'',8' 11.5'',11.65,,3.23,,37.5,6
-2010,,2010,Sylven Landesberg,Sylven Landesberg,SG,11.60%,94.0625,210,76.75,100.5,81,6' 4.75'',6' 9'',8' 4.5'',11.59,,3.36,28,32,8
-2010,,2010,Terrico White,Terrico White,SGPG,3.70%,94.5,202.6,75.75,101,81,6' 3.75'',6' 9'',8' 5'',11.38,,3.15,31,40,10
8,2018,2010,Trevor Booker,Trevor Booker,PF,7.30%,85.5,235.8,78.25,106,81.75,6' 6.25'',6' 9.75'',8' 10'',11.15,,3.1,31,36,22
9,2019,2010,Wesley Johnson,Wesley Johnson,SF,4.60%,85.5,206.4,78.25,106,85,6' 6.25'',7' 1'',8' 10'',11.43,,3.14,32,37,16
1,2011,2010,Willie Warren,Willie Warren,SGPG,7.60%,80.75,208.4,74.5,99.5,78,6' 2.5'',6' 6'',8' 3.5'',11.21,,3.5,23,31.5,10
5,2015,2010,Xavier Henry,Xavier Henry,SG,4.70%,87.5,210.2,77.25,105,83.25,6' 5.25'',6' 11.25'',8' 9'',11.1,,3.18,28.5,36.5,8
,,2009,A.J. Price,A.J. Price,PG,12.40%,,192.8,72.5,97,75.75,6' 0.5'',6' 3.75'',8' 1'',10.99,,3.22,26,31,11
6,2015,2009,Austin Daye,Austin Daye,SFPF,5.50%,,191.8,81.75,110,86.75,6' 9.75'',7' 2.75'',9' 2'',12.11,,3.55,25,28,0
5,2014,2009,BJ Mullens,Byron Mullens,C,8.50%,,258.2,83.75,111,85.5,6' 11.75'',7' 1.5'',9' 3'',11.1,,3.45,28.5,32.5,10
14,2023,2009,Blake Griffin,Blake Griffin,PF,8.20%,,248.4,80.5,105,83.25,6' 8.5'',6' 11.25'',8' 9'',10.95,,3.28,32,35.5,22
7,2016,2009,Chase Budinger,Chase Budinger,SFSG,10.00%,,206.4,78.25,101,79,6' 6.25'',6' 7'',8' 5'',11.08,,3.24,29.5,38.5,10
4,2013,2009,DaJuan Summers,DaJuan Summers,SF,6.60%,,243,79.25,106.5,84.75,6' 7.25'',7' 0.75'',8' 10.5'',10.94,,3.17,29.5,34.5,15
15,2024,2009,Danny Green,Danny Green,SGSF,5.60%,,208,77.25,103,82,6' 5.25'',6' 10'',8' 7'',11.3,,3.3,29,33,15
10,2019,2009,Dante Cunningham,Dante Cunningham,PF,4.80%,,227.4,79,106.5,83,6' 7'',6' 11'',8' 10.5'',11.18,,3.26,28,35,18
13,2022,2009,Darren Collison,Darren Collison,PG,5.70%,,166.2,72.25,96.5,75,6' 0.25'',6' 3'',8' 0.5'',10.45,,3.1,30.5,33.5,9
7,2016,2009,DeJuan Blair,DeJuan Blair,PF,12.00%,,276.6,77.25,106.5,86,6' 5.25'',7' 2'',8' 10.5'',11.5,,3.45,26,33,18
16,2025,2009,DeMar DeRozan,DeMar DeRozan,SGSF,4.90%,,211.2,77.5,102.5,81,6' 5.5'',6' 9'',8' 6.5'',11.88,,3.31,29,38.5,5
11,2020,2009,DeMarre Carroll,DeMarre Carroll,PFSF,6.30%,,207.2,78.25,105,82,6' 6.25'',6' 10'',8' 9'',,,,,,
3,2012,2009,Derrick Brown,Derrick Brown,SFPF,8.60%,,224.6,79.5,107.5,86.5,6' 7.5'',7' 2.5'',8' 11.5'',11.26,,3.13,30.5,35.5,20
5,2014,2009,Dionte Christmas,Dionte Christmas,SG,7.10%,,210.8,76.25,102.5,81,6' 4.25'',6' 9'',8' 6.5'',10.83,,3.21,27,33.5,3
6,2015,2009,Earl Clark,Earl Clark,SFPF,5.20%,,228.4,80.5,109.5,86.5,6' 8.5'',7' 2.5'',9' 1.5'',11.17,,3.35,28.5,33,5
5,2014,2009,Eric Maynor,Eric Maynor,PG,5.40%,,163.6,74.25,97,74.5,6' 2.25'',6' 2.5'',8' 1'',10.78,,3.19,28.5,31.5,8
8,2017,2009,Gerald Henderson,Gerald Henderson,SGSF,4.40%,,214.6,76,102.5,82.25,6' 4'',6' 10.25'',8' 6.5'',11.17,,3.14,31.5,35,8
5,2014,2009,Hasheem Thabeet,Hasheem Thabeet,C,6.70%,,267.2,85.25,113,90.25,7' 1.25'',7' 6.25'',9' 5'',,,,,,
13,2022,2009,Hassan Whiteside,Hassan Whiteside,CPF,5.50%,84.5625,226.6,82.5,113,91,6' 10.5'',7' 7'',9' 5'',11.83,,3.54,27,31.5,12
-2009,,2009,Jack McClinton,Jack McClinton,SGPG,6.20%,,185.2,71.75,96,74.5,5' 11.75'',6' 2.5'',8' 0'',10.44,,3.21,30,36.5,13
16,2025,2009,James Harden,James Harden,SG,10.10%,,222,76,103.5,82.75,6' 4'',6' 10.75'',8' 7.5'',11.1,,3.13,31.5,37,17
16,2025,2009,James Johnson,James Johnson,SFPF,12.00%,,257.2,79,105.5,84.75,6' 7'',7' 0.75'',8' 9.5'',11.21,,3.23,30.5,35,18
6,2015,2009,Jeff Adrien,Jeff Adrien,PF,7.90%,,236.2,77.25,107.5,86,6' 5.25'',7' 2'',8' 11.5'',11.34,,3.32,27.5,31.5,16
7,2016,2009,Jeff Ayres,Jeff Ayres,PF,5.50%,,239.6,80.75,107,85,6' 8.75'',7' 1'',8' 11'',11.98,,3.14,31,35,15
12,2021,2009,Jeff Teague,Jeff Teague,PG,4.50%,,175.2,72.25,98.5,79.5,6' 0.25'',6' 7.5'',8' 2.5'',11.05,,3.18,30.5,36.5,13
6,2015,2009,Jerel McNeal,Jerel McNeal,SG,5.40%,,190.4,73.5,99.5,79.25,6' 1.5'',6' 7.25'',8' 3.5'',10.61,,3.25,31.5,36.5,10
2,2011,2009,Jermaine Taylor,Jermaine Taylor,SG,5.80%,,207.4,75.5,101,80.75,6' 3.5'',6' 8.75'',8' 5'',11.54,,3.32,34,37.5,16
10,2019,2009,Jodie Meeks,Jodie Meeks,SG,8.00%,,211.4,75,98,76.5,6' 3'',6' 4.5'',8' 2'',10.96,,3.1,28.5,37,14
16,2025,2009,Joe Ingles,Joe Ingles,SF,10.10%,,209.2,79.75,105,82.25,6' 7.75'',6' 10.25'',8' 9'',10.66,,3.3,26,31,3
3,2012,2009,Jonny Flynn,Jonny Flynn,PG,6.30%,,195.6,71.25,95.5,76,5' 11.25'',6' 4'',7' 11.5'',10.86,,3.23,33,40,10
8,2017,2009,Jordan Hill,Jordan Hill,PFC,6.00%,,232.4,81.25,108,85.5,6' 9.25'',7' 1.5'',9' 0'',12.23,,3.3,31,35,11
-2009,,2009,Josh Heytvelt,Josh Heytvelt,PFC,10.80%,,246.2,82,108,85.25,6' 10'',7' 1.25'',9' 0'',11.67,,3.38,28.5,34,15
16,2025,2009,Jrue Holiday,Jrue Holiday,PGSG,6.30%,,199,75.25,100.5,79,6' 3.25'',6' 7'',8' 4.5'',10.64,,3.21,28.5,34,6
8,2017,2009,Marcus Thornton,Marcus Thornton,SG,4.80%,,194.4,74.75,99,77,6' 2.75'',6' 5'',8' 3'',10.73,,3.28,31,33,14
10,2019,2009,Omri Casspi,Omri Casspi,SF,8.60%,,211.2,79.75,106.5,81.25,6' 7.75'',6' 9.25'',8' 10.5'',11.15,,3.28,25.5,32.5,2
16,2025,2009,Patrick Mills,Patty Mills,PG,6.90%,,175.4,71.25,95,74,5' 11.25'',6' 2'',7' 11'',10.87,,3.1,27.5,33,8
4,2013,2009,Rodrigue Beaubois,Rodrigue Beaubois,PG,7.90%,,182.4,73.25,100,81.75,6' 1.25'',6' 9.75'',8' 4'',10.49,,3.15,29.5,39,3
16,2025,2009,Stephen Curry,Stephen Curry,PGSG,5.70%,,181,74,97,75.5,6' 2'',6' 3.5'',8' 1'',11.07,,3.28,29.5,35.5,10
16,2025,2009,Taj Gibson,Taj Gibson,PF,6.60%,,214.4,80.5,109,88,6' 8.5'',7' 4'',9' 1'',11.56,,3.41,25.5,30,12
4,2013,2009,Terrence Williams,Terrence Williams,SGSF,5.10%,,213.2,77,103.5,81,6' 5'',6' 9'',8' 7.5'',11.15,,3.18,30.5,37,9
8,2017,2009,Toney Douglas,Toney Douglas,PG,5.20%,,183.4,73,97.5,78,6' 1'',6' 6'',8' 1.5'',10.63,,3.03,28,32.5,15
8,2017,2009,Ty Lawson,Ty Lawson,PG,6.60%,,196.6,71.25,94.5,72.75,5' 11.25'',6' 0.75'',7' 10.5'',10.98,,3.12,29,36.5,14
7,2016,2009,Tyler Hansbrough,Tyler Hansbrough,PF,8.50%,,234.2,80.25,106,83.5,6' 8.25'',6' 11.5'',8' 10'',11.12,,3.27,27.5,34,18
16,2025,2009,Tyler Smith,Tyler Smith,SF,7.00%,,212,77.25,104.5,81.75,6' 5.25'',6' 9.75'',8' 8.5'',10.69,,3.24,29,33.5,10
10,2019,2009,Tyreke Evans,Tyreke Evans,PGSG,7.10%,,220.6,76,104,83.25,6' 4'',6' 11.25'',8' 8'',11.81,,3.17,28.5,34,7
13,2022,2009,Wayne Ellington,Wayne Ellington,SG,5.50%,,202.4,76.25,100,78.5,6' 4.25'',6' 6.5'',8' 4'',11.14,,3.2,31.5,38,13
-2008,,2008,Aleks Maric,Aleks Maric,C,10.10%,,273,81.75,109.5,85,6' 9.75'',7' 1'',9' 1.5'',11.76,,3.35,23,28,15
6,2014,2008,Anthony Randolph,Anthony Randolph,PFSF,4.70%,,197,81,109,87,6' 9'',7' 3'',9' 1'',11.86,,3.26,29,35,7
-2008,,2008,Brian Butch,Brian Butch,CPF,10.80%,,229.6,81.5,108,83.25,6' 9.5'',6' 11.25'',9' 0'',11.87,,3.52,24,26.5,9
9,2017,2008,Brian Roberts,Brian Roberts,PG,3.60%,,173,72.25,95,73.25,6' 0.25'',6' 1.25'',7' 11'',10.65,,3.05,31.5,36.5,10
17,2025,2008,Brook Lopez,Brook Lopez,C,6.30%,,258,83.25,113,89.5,6' 11.25'',7' 5.5'',9' 5'',12.77,,3.57,27.5,30.5,7
-2008,,2008,Bryce Taylor,Bryce Taylor,SG,8.30%,,210,74.75,99.5,81,6' 2.75'',6' 9'',8' 3.5'',11.08,,3.19,34.5,41,16
-2008,,2008,Charles Rhodes,Charles Rhodes,PF,10.70%,,244,79.25,107.5,83.25,6' 7.25'',6' 11.25'',8' 11.5'',11.51,,3.13,26.5,33.5,14
-2008,,2008,Chris Daniels,Chris Daniels,CPF,16.10%,,256,80.25,109,84.5,6' 8.25'',7' 0.5'',9' 1'',12.72,,3.56,26,28.5,11
3,2011,2008,Darnell Jackson,Darnell Jackson,PF,12.50%,,240.5,79,106.5,83.25,6' 7'',6' 11.25'',8' 10.5'',11.75,,3.26,27,31,11
10,2018,2008,Darrell Arthur,Darrell Arthur,PF,7.30%,,216,79.5,107,82.75,6' 7.5'',6' 10.75'',8' 11'',12.18,,3.14,28.5,30,12
-2008,,2008,David Padgett,David Padgett,CPF,9.00%,,239.5,82.25,109.5,85,6' 10.25'',7' 1'',9' 1.5'',12.45,,3.45,24,28,17
-2008,,2008,Davon Jefferson,Davon Jefferson,SF,12.00%,,213,77.25,105,81.5,6' 5.25'',6' 9.5'',8' 9'',12.02,,3.36,27,32,2
17,2025,2008,DeAndre Jordan,DeAndre Jordan,C,7.50%,,250,81.75,113.5,90,6' 9.75'',7' 6'',9' 5.5'',12.3,,3.27,26,30.5,8
